NBHDNo,NBHDName,TSNS 2020 Designation,Median total income of private household in 2020 ($),Median total income of economic family in 2020 ($),Participation rate,Employment rate,"No certificate, diploma or degree (%)",High (secondary) school diploma or equivalency certificate (%),"Postsecondary certificate, diploma or degree (%)",No_of_Branches,No_of_Workstations,No_of_Programs
001,West Humber-Clairville,Not an NIA or Emerging Neighbourhood,92000,104000,63.5,54.4,18.29,29.14,52.57,2,13,0
002,Mount Olive-Silverstone-Jamestown,Neighbourhood Improvement Area,76500,84000,56.0,46.1,27.79,30.31,41.92,1,38,7
003,Thistletown-Beaumond Heights,Neighbourhood Improvement Area,86000,100000,59.8,49.9,22.28,28.44,49.4,0,0,0
004,Rexdale-Kipling,Not an NIA or Emerging Neighbourhood,77000,99000,60.2,51.8,21.24,30.89,47.81,1,6,0
005,Elms-Old Rexdale,Neighbourhood Improvement Area,82000,95000,57.1,46.5,22.66,33.96,43.32,0,0,0
006,Kingsview Village-The Westway,Neighbourhood Improvement Area,79000,91000,58.2,47.7,21.2,29.66,49.17,0,0,0
007,Willowridge-Martingrove-Richview,Not an NIA or Emerging Neighbourhood,92000,111000,58.3,49.9,16.68,26.05,57.27,1,44,5
008,Humber Heights-Westmount,Emerging Neighbourhood,85000,105000,57.8,50.4,16.91,25.77,57.27,0,0,0
009,Edenbridge-Humber Valley,Not an NIA or Emerging Neighbourhood,100000,131000,61.8,54.3,12.46,23.48,64.06,0,0,0
010,Princess-Rosethorn,Not an NIA or Emerging Neighbourhood,162000,186000,62.4,55.4,8.92,20.7,70.44,0,0,0
011,Eringate-Centennial-West Deane,Not an NIA or Emerging Neighbourhood,108000,127000,61.8,53.8,12.3,25.84,61.86,1,4,0
012,Markland Wood,Not an NIA or Emerging Neighbourhood,105000,132000,57.6,50.6,10.55,25.01,64.38,0,0,0
013,Etobicoke West Mall,Not an NIA or Emerging Neighbourhood,84000,98000,64.4,55.3,14.03,27.62,58.35,0,0,0
015,Kingsway South,Not an NIA or Emerging Neighbourhood,184000,236000,61.9,56.8,6.46,15.08,78.45,1,33,3
016,Stonegate-Queensway,Not an NIA or Emerging Neighbourhood,104000,140000,65.5,57.7,11.53,20.51,67.97,1,4,0
018,New Toronto,Not an NIA or Emerging Neighbourhood,68500,104000,63.8,55.4,14.13,28.06,57.76,1,8,0
019,Long Branch,Not an NIA or Emerging Neighbourhood,83000,112000,69.3,61.4,12.85,22.53,64.57,1,11,0
020,Alderwood,Not an NIA or Emerging Neighbourhood,106000,130000,65.8,57.9,15.92,26.24,57.89,1,7,0
021,Humber Summit,Neighbourhood Improvement Area,80000,91000,55.8,46.1,27.84,29.68,42.53,1,9,0
022,Humbermede,Neighbourhood Improvement Area,77500,85000,59.0,49.4,27.03,30.04,42.93,1,9,1
023,Pelmo Park-Humberlea,Not an NIA or Emerging Neighbourhood,100000,112000,62.2,53.6,21.77,27.6,50.63,0,0,0
024,Black Creek,Neighbourhood Improvement Area,65000,76000,52.8,42.5,32.87,32.14,34.94,0,0,0
025,Glenfield-Jane Heights,Neighbourhood Improvement Area,70500,82000,54.1,43.8,33.5,32.12,34.36,2,55,4
027,York University Heights,Neighbourhood Improvement Area,76000,87000,61.5,51.4,19.02,29.0,51.98,0,0,0
028,Rustic,Neighbourhood Improvement Area,64000,77000,53.3,43.4,27.95,32.97,39.09,0,0,0
029,Maple Leaf,Not an NIA or Emerging Neighbourhood,82000,99000,59.4,50.6,25.21,26.34,48.45,0,0,0
030,Brookhaven-Amesbury,Not an NIA or Emerging Neighbourhood,73000,88000,58.7,48.6,27.69,30.63,41.68,1,6,0
031,Yorkdale-Glen Park,Emerging Neighbourhood,79000,101000,61.1,51.4,23.28,24.52,52.23,0,0,0
032,Englemount-Lawrence,Emerging Neighbourhood,78000,102000,59.9,52.4,13.78,27.74,58.51,1,30,5
033,Clanton Park,Not an NIA or Emerging Neighbourhood,88000,115000,68.1,59.8,11.0,22.77,66.19,0,0,0
034,Bathurst Manor,Not an NIA or Emerging Neighbourhood,92000,113000,64.9,56.8,13.13,23.8,63.03,0,0,0
035,Westminster-Branson,Emerging Neighbourhood,76000,90000,61.0,51.6,9.59,26.29,64.14,1,8,1
036,Newtonbrook West,Not an NIA or Emerging Neighbourhood,79000,88000,61.8,53.3,10.71,24.15,65.14,0,0,0
037,Willowdale West,Not an NIA or Emerging Neighbourhood,76500,104000,60.7,53.4,7.6,18.61,73.79,1,98,6
038,Lansing-Westgate,Not an NIA or Emerging Neighbourhood,98000,123000,67.2,59.5,6.88,18.87,74.22,0,0,0
039,Bedford Park-Nortown,Not an NIA or Emerging Neighbourhood,135000,198000,62.4,55.9,8.1,21.21,70.67,1,5,0
040,St.Andrew-Windfields,Not an NIA or Emerging Neighbourhood,118000,141000,59.8,53.3,8.57,19.79,71.64,0,0,0
041,Bridle Path-Sunnybrook-York Mills,Not an NIA or Emerging Neighbourhood,222000,254000,58.2,53.4,6.16,17.11,76.72,0,0,0
042,Banbury-Don Mills,Not an NIA or Emerging Neighbourhood,91000,119000,58.1,52.0,8.8,21.87,69.33,1,25,3
043,Victoria Village,Neighbourhood Improvement Area,68000,90000,58.5,48.7,18.12,26.58,55.34,1,6,0
044,Flemingdon Park,Neighbourhood Improvement Area,70000,81000,57.1,47.7,19.37,26.67,53.96,1,15,3
046,Pleasant View,Not an NIA or Emerging Neighbourhood,89000,100000,57.6,47.9,14.84,24.65,60.51,1,8,0
047,Don Valley Village,Not an NIA or Emerging Neighbourhood,83000,95000,61.1,52.0,10.83,21.68,67.49,1,55,6
048,Hillcrest Village,Not an NIA or Emerging Neighbourhood,86000,105000,52.4,45.3,11.57,20.46,67.97,1,12,0
049,Bayview Woods-Steeles,Not an NIA or Emerging Neighbourhood,93000,109000,53.8,46.6,9.66,22.42,67.92,0,0,0
050,Newtonbrook East,Not an NIA or Emerging Neighbourhood,80000,100000,59.8,52.0,8.5,22.4,69.06,0,0,0
052,Bayview Village,Not an NIA or Emerging Neighbourhood,83000,105000,64.9,56.0,5.37,17.53,77.13,1,14,1
053,Henry Farm,Not an NIA or Emerging Neighbourhood,79500,93000,70.8,61.1,7.84,17.18,75.01,0,0,0
054,O`Connor Parkview,Not an NIA or Emerging Neighbourhood,77000,102000,60.0,49.7,17.71,27.45,54.84,1,15,0
055,Thorncliffe Park,Neighbourhood Improvement Area,67000,74500,56.4,46.3,18.83,28.01,53.19,1,19,3
056,Leaside-Bennington,Not an NIA or Emerging Neighbourhood,148000,218000,65.5,58.2,8.4,17.31,74.28,1,13,1
057,Broadview North,Not an NIA or Emerging Neighbourhood,68500,95000,65.9,56.1,14.28,24.34,61.38,0,0,0
058,Old East York,Not an NIA or Emerging Neighbourhood,96000,129000,64.1,56.3,13.82,24.22,62.02,1,2,0
059,Danforth-East York,Not an NIA or Emerging Neighbourhood,101000,133000,67.4,59.9,15.83,20.11,64.02,1,39,4
060,Woodbine-Lumsden,Not an NIA or Emerging Neighbourhood,96000,125000,66.7,58.7,12.61,22.96,64.43,0,0,0
061,Taylor Massey,Neighbourhood Improvement Area,68500,82000,63.5,51.5,14.1,24.84,61.1,0,0,0
062,East End Danforth,Not an NIA or Emerging Neighbourhood,90000,130000,68.5,59.7,12.01,21.02,66.97,1,9,0
063,The Beaches,Not an NIA or Emerging Neighbourhood,116000,172000,68.4,60.9,7.37,19.44,73.19,1,12,0
064,Woodbine Corridor,Not an NIA or Emerging Neighbourhood,97000,144000,68.2,60.8,12.44,20.17,67.39,1,9,0
065,Greenwood-Coxwell,Not an NIA or Emerging Neighbourhood,93000,130000,66.8,58.8,15.04,22.69,62.27,1,8,0
066,Danforth,Not an NIA or Emerging Neighbourhood,98000,149000,65.1,57.4,14.41,21.48,64.05,0,0,0
067,Playter Estates-Danforth,Not an NIA or Emerging Neighbourhood,87000,152000,66.2,57.0,10.62,18.21,71.17,0,0,0
068,North Riverdale,Not an NIA or Emerging Neighbourhood,108000,160000,66.8,60.6,10.94,16.04,72.96,1,18,0
069,Blake-Jones,Not an NIA or Emerging Neighbourhood,86000,119000,64.4,55.8,16.09,22.45,61.46,1,14,0
070,South Riverdale,Not an NIA or Emerging Neighbourhood,100000,137000,72.7,63.2,14.45,18.63,66.92,2,13,0
071,Cabbagetown-South St. James Town,Not an NIA or Emerging Neighbourhood,76500,124000,67.8,59.0,7.21,19.66,73.17,0,0,0
072,Regent Park,Neighbourhood Improvement Area,65500,84000,61.9,51.0,15.03,25.07,59.9,0,0,0
073,Moss Park,Not an NIA or Emerging Neighbourhood,65000,105000,72.3,61.7,9.61,18.32,72.04,1,12,2
074,North St. James Town,Not an NIA or Emerging Neighbourhood,59200,79500,66.8,55.2,11.91,22.85,65.21,1,19,1
078,Kensington-Chinatown,Not an NIA or Emerging Neighbourhood,62000,90000,62.7,51.6,14.55,23.35,62.07,2,48,5
079,University,Not an NIA or Emerging Neighbourhood,80000,126000,69.1,58.6,7.85,17.81,74.43,0,0,0
080,Palmerston-Little Italy,Not an NIA or Emerging Neighbourhood,88000,133000,71.7,63.6,12.45,18.53,69.01,1,7,0
081,Trinity-Bellwoods,Not an NIA or Emerging Neighbourhood,92000,116000,68.8,60.0,19.84,20.02,60.14,0,0,0
083,Dufferin Grove,Not an NIA or Emerging Neighbourhood,78000,108000,70.3,60.2,17.95,18.85,63.15,1,36,2
084,Little Portugal,Not an NIA or Emerging Neighbourhood,86000,117000,75.9,66.3,14.87,19.06,66.07,0,0,0
085,South Parkdale,Neighbourhood Improvement Area,57200,84000,69.0,57.0,14.67,25.57,59.78,1,24,2
086,Roncesvalles,Not an NIA or Emerging Neighbourhood,88000,133000,70.6,62.6,13.54,19.26,67.2,0,0,0
087,High Park-Swansea,Not an NIA or Emerging Neighbourhood,101000,147000,70.2,62.4,7.55,17.07,75.41,2,12,0
088,High Park North,Not an NIA or Emerging Neighbourhood,83000,120000,72.0,62.5,6.55,16.51,76.96,1,15,0
089,Runnymede-Bloor West Village,Not an NIA or Emerging Neighbourhood,138000,170000,70.3,63.4,10.84,17.07,72.15,1,19,1
090,Junction Area,Not an NIA or Emerging Neighbourhood,96000,123000,72.7,63.4,12.16,20.1,67.74,1,11,0
091,Weston-Pelham Park,Neighbourhood Improvement Area,81000,112000,61.5,52.1,27.83,27.44,44.68,1,5,0
092,Corso Italia-Davenport,Not an NIA or Emerging Neighbourhood,94000,119000,66.9,59.4,22.77,21.53,55.66,1,20,1
094,Wychwood,Not an NIA or Emerging Neighbourhood,86000,124000,66.6,58.3,15.37,20.54,64.08,1,3,0
095,Annex,Not an NIA or Emerging Neighbourhood,85000,144000,69.7,61.6,5.66,15.35,78.99,3,19,0
096,Casa Loma,Not an NIA or Emerging Neighbourhood,103000,164000,64.7,57.6,4.76,17.34,77.85,1,11,0
097,Yonge-St. Clair,Not an NIA or Emerging Neighbourhood,94000,157000,67.5,61.8,4.75,14.41,80.89,0,0,0
098,Rosedale-Moore Park,Not an NIA or Emerging Neighbourhood,122000,200000,59.1,53.5,4.83,15.1,80.07,2,226,3
099,Mount Pleasant East,Not an NIA or Emerging Neighbourhood,110000,170000,68.7,61.4,7.25,16.89,75.86,1,2,0
100,Yonge-Eglinton,Not an NIA or Emerging Neighbourhood,94000,155000,71.0,62.8,6.55,15.06,78.34,1,27,2
101,Forest Hill South,Not an NIA or Emerging Neighbourhood,109000,188000,63.9,58.2,6.53,16.84,76.63,0,0,0
102,Forest Hill North,Not an NIA or Emerging Neighbourhood,90000,124000,68.5,60.5,8.22,20.76,70.98,1,7,1
103,Lawrence Park South,Not an NIA or Emerging Neighbourhood,162000,244000,63.6,57.4,8.15,16.07,75.78,1,12,0
105,Lawrence Park North,Not an NIA or Emerging Neighbourhood,168000,228000,67.4,60.1,7.9,15.21,76.93,0,0,0
106,Humewood-Cedarvale,Not an NIA or Emerging Neighbourhood,83000,132000,71.0,63.3,8.07,19.55,72.34,0,0,0
107,Oakwood Village,Not an NIA or Emerging Neighbourhood,77000,105000,64.9,56.7,19.99,23.93,56.08,2,46,5
108,Briar Hill-Belgravia,Not an NIA or Emerging Neighbourhood,81000,102000,65.4,56.3,18.0,24.07,57.89,0,0,0
109,Caledonia-Fairbank,Not an NIA or Emerging Neighbourhood,87000,102000,65.7,57.1,30.2,24.43,45.36,0,0,0
110,Keelesdale-Eglinton West,Neighbourhood Improvement Area,77000,95000,60.1,51.1,31.88,28.81,39.3,1,12,0
111,Rockcliffe-Smythe,Neighbourhood Improvement Area,69000,91000,56.8,48.8,26.76,29.8,43.44,0,0,0
112,Beechborough-Greenbrook,Neighbourhood Improvement Area,62400,82000,59.4,49.2,26.41,33.11,40.67,0,0,0
113,Weston,Neighbourhood Improvement Area,64500,86000,59.9,49.5,23.02,30.57,46.42,1,11,2
114,Lambton Baby Point,Not an NIA or Emerging Neighbourhood,103000,142000,64.9,56.3,13.08,21.26,65.65,0,0,0
115,Mount Dennis,Neighbourhood Improvement Area,70500,87000,61.8,50.2,23.06,30.44,46.54,1,20,4
116,Steeles,Emerging Neighbourhood,80000,87000,49.4,40.2,21.61,28.56,49.83,1,8,0
118,Tam O'Shanter-Sullivan,Not an NIA or Emerging Neighbourhood,76500,92000,56.4,47.6,16.8,25.85,57.35,1,42,4
119,Wexford/Maryvale,Not an NIA or Emerging Neighbourhood,82000,99000,61.4,51.5,16.8,29.62,53.56,1,12,1
120,Clairlea-Birchmount,Not an NIA or Emerging Neighbourhood,90000,103000,62.7,53.4,16.27,26.73,57.02,2,47,5
121,Oakridge,Neighbourhood Improvement Area,60000,76500,54.6,43.1,20.48,28.87,50.65,0,0,0
122,Birchcliffe-Cliffside,Not an NIA or Emerging Neighbourhood,90000,123000,62.7,53.3,13.42,25.78,60.8,1,8,0
123,Cliffcrest,Not an NIA or Emerging Neighbourhood,92000,114000,59.8,50.7,14.57,27.94,57.49,1,9,0
124,Kennedy Park,Neighbourhood Improvement Area,69000,90000,56.3,45.9,20.31,28.98,50.71,0,0,0
125,Ionview,Neighbourhood Improvement Area,74500,87000,60.3,50.4,18.98,29.74,51.32,1,14,3
126,Dorset Park,Emerging Neighbourhood,79000,92000,59.4,50.8,18.61,28.67,52.74,1,14,0
128,Agincourt South-Malvern West,Not an NIA or Emerging Neighbourhood,79500,88000,58.7,50.3,18.43,26.18,55.4,0,0,0
129,Agincourt North,Not an NIA or Emerging Neighbourhood,84000,91000,54.4,45.0,22.62,28.01,49.37,1,22,2
130,Milliken,Not an NIA or Emerging Neighbourhood,81000,83000,51.3,41.5,26.2,30.27,43.52,1,10,0
133,Centennial Scarborough,Not an NIA or Emerging Neighbourhood,134000,149000,61.0,53.9,9.65,25.53,64.81,1,6,0
134,Highland Creek,Not an NIA or Emerging Neighbourhood,120000,129000,59.1,50.2,11.93,29.79,58.23,1,11,0
135,Morningside,Neighbourhood Improvement Area,85000,96000,60.0,50.5,14.72,29.21,56.04,0,0,0
136,West Hill,Neighbourhood Improvement Area,76000,95000,57.4,47.7,17.15,30.71,52.11,1,10,0
138,Eglinton East,Neighbourhood Improvement Area,73500,85000,58.2,48.3,19.11,29.59,51.29,0,0,0
139,Scarborough Village,Neighbourhood Improvement Area,71500,85000,56.8,46.7,18.82,28.62,52.55,0,0,0
140,Guildwood,Not an NIA or Emerging Neighbourhood,102000,126000,58.0,50.2,11.32,24.55,64.25,1,6,0
141,Golfdale-Cedarbrae-Woburn,Neighbourhood Improvement Area (formerly Woburn),77000,88000,57.4,47.8,20.86,29.16,49.95,1,66,5
142,Woburn North,Neighbourhood Improvement Area (formerly Woburn),74500,88000,60.1,50.5,16.24,26.36,57.4,0,0,0
143,West Rouge,Not an NIA or Emerging Neighbourhood,108000,124000,60.4,51.7,10.84,26.73,62.43,0,0,0
144,Morningside Heights,Not an NIA or Emerging Neighbourhood,117000,120000,63.3,53.9,19.85,30.78,49.4,0,0,0
145,Malvern West,Emerging Neighbourhood,88000,92000,61.3,50.6,18.02,30.17,51.85,0,0,0
146,Malvern East,Emerging Neighbourhood,85000,97000,59.3,49.7,17.94,29.96,52.1,2,48,5
147,L'Amoreaux West,Emerging Neighbourhood,72500,92000,54.1,45.6,17.77,26.33,55.9,1,7,1
148,East L'Amoreaux,Emerging Neighbourhood,85000,89000,55.5,45.5,19.75,28.22,51.98,0,0,0
149,Parkwoods-O'Connor Hills,Not an NIA or Emerging Neighbourhood,98000,110000,62.1,52.0,13.92,23.68,62.44,0,0,0
150,Fenside-Parkwoods,Not an NIA or Emerging Neighbourhood,78000,89000,64.0,53.9,13.58,26.76,59.66,1,9,0
151,Yonge-Doris,Not an NIA or Emerging Neighbourhood,73000,86000,63.1,55.0,5.78,16.9,77.32,0,0,0
152,East Willowdale,Not an NIA or Emerging Neighbourhood,95000,113000,56.6,48.9,8.58,20.75,70.71,0,0,0
153,Avondale,Not an NIA or Emerging Neighbourhood,84000,104000,71.2,63.0,4.08,14.58,81.38,0,0,0
154,Oakdale-Beverley Heights,Neighbourhood Improvement Area (formerly Downsview-Roding-CFB),71500,87000,61.2,50.8,27.01,32.51,40.45,1,7,0
155,Downsview,Neighbourhood Improvement Area (formerly Downsview-Roding-CFB),82000,99000,64.6,55.2,20.7,26.12,53.18,1,32,6
156,Bendale-Glen Andrew,Not an NIA or Emerging Neighbourhood,74500,92000,58.0,49.4,15.43,27.12,57.42,1,18,3
157,Bendale South,Not an NIA or Emerging Neighbourhood,90000,97000,58.9,49.9,17.78,29.69,52.58,1,9,0
158,Islington,Not an NIA or Emerging Neighbourhood,102000,125000,62.9,54.7,11.18,23.26,65.51,1,13,1
159,Etobicoke City Centre,Not an NIA or Emerging Neighbourhood,83000,106000,73.5,65.4,8.77,19.01,72.25,0,0,0
160,Mimico-Queensway,Not an NIA or Emerging Neighbourhood,84000,125000,68.9,60.9,13.38,21.19,65.46,1,9,0
161,Humber Bay Shores,Not an NIA or Emerging Neighbourhood,85000,111000,73.9,64.8,6.41,17.56,76.03,0,0,0
162,West Queen West,Not an NIA or Emerging Neighbourhood,101000,136000,81.9,75.7,5.85,14.82,79.37,0,0,0
163,Fort York-Liberty Village,Not an NIA or Emerging Neighbourhood,94000,128000,86.7,79.3,2.67,11.73,85.6,0,0,0
164,Wellington Place,Not an NIA or Emerging Neighbourhood,90000,138000,87.3,80.5,1.7,10.47,87.85,0,0,0
165,Harbourfront-CityPlace,Not an NIA or Emerging Neighbourhood,90000,118000,84.0,75.4,3.2,11.59,85.23,1,16,2
166,St Lawrence-East Bayfront-The Islands,Not an NIA or Emerging Neighbourhood,87000,124000,75.7,67.5,4.21,13.67,82.11,1,7,0
167,Church-Wellesley,Not an NIA or Emerging Neighbourhood,60400,96000,73.4,61.9,3.87,18.0,78.15,0,0,0
168,Downtown Yonge East,Not an NIA or Emerging Neighbourhood,69500,112000,73.0,63.1,4.3,15.5,80.2,0,0,0
169,Bay-Cloverhill,Not an NIA or Emerging Neighbourhood,58400,100000,65.4,55.6,1.88,20.34,77.78,0,0,0
170,Yonge-Bay Corridor,Not an NIA or Emerging Neighbourhood,68500,100000,73.8,64.0,2.7,15.29,82.06,1,9,0
171,Junction-Wallace Emerson,Not an NIA or Emerging Neighbourhood,84000,112000,69.8,60.0,19.8,21.26,58.94,1,3,0
172,Dovercourt Village,Not an NIA or Emerging Neighbourhood,87000,111000,67.7,58.4,18.75,20.74,60.51,0,0,0
173,North Toronto,Not an NIA or Emerging Neighbourhood,70000,96000,74.6,65.0,5.46,14.62,79.92,0,0,0
174,South Eglinton-Davisville,Not an NIA or Emerging Neighbourhood,80000,109000,73.4,65.6,4.38,14.16,81.5,0,0,0
