NBHDNo,NBHDName,BranchCode,BranchName,Year,Registrations
120,Clairlea-Birchmount,ES,Eglinton Square,2019,2799
102,Forest Hill North,FH,Forest Hill,2019,1091
165,Harbourfront-CityPlace,FO,Fort York,2019,4769
044,Flemingdon Park,FP,Flemingdon Park,2019,1204
047,Don Valley Village,FV,Fairview,2019,7751
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2019,832
130,Milliken,GHP,Goldhawk Park,2019,851
140,Guildwood,GW,Guildwood,2019,342
016,Stonegate-Queensway,HB,Humber Bay,2019,926
134,Highland Creek,HC,Highland Creek,2019,1116
048,Hillcrest Village,HIL,Hillcrest,2019,980
087,High Park-Swansea,HP,High Park,2019,1874
021,Humber Summit,HS,Humber Summit,2019,685
001,West Humber-Clairville,HW,Humberwood,2019,669
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2019,1755
070,South Riverdale,JO,Jones,2019,896
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2019,1781
125,Ionview,KE,Kennedy/Eglinton,2019,1568
019,Long Branch,LB,Long Branch,2019,899
056,Leaside-Bennington,LE,Leaside,2019,1530
103,Lawrence Park South,LO,Locke,2019,2157
078,Kensington-Chinatown,LS,Lillian H. Smith,2019,3362
062,East End-Danforth,MA,Main Street,2019,1202
146,Malvern East,MAL,Malvern,2019,3332
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2019,1819
126,Dorset Park,MCG,McGregor Park,2019,1680
115,Mount Dennis,MD,Mount Dennis,2019,1027
160,Mimico-Queensway,MI,Mimico Centennial,2019,1129
099,Mount Pleasant East,MP,Mount Pleasant,2019,776
119,Wexford-Maryvale,MRV,Maryvale,2019,1505
136,West Hill,MS,Morningside,2019,1528
100,Yonge-Eglinton,ND,Northern District,2019,4118
001,West Humber-Clairville,NE,Northern Elms,2019,555
018,New Toronto,NT,New Toronto,2019,788
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2019,939
069,Blake-Jones,PA,Pape/Danforth,2019,2105
171,Junction-Wallace Emerson,PE,Perth/Dupont,2019,548
085,South Parkdale,PK,Parkdale,2019,2068
073,Moss Park,PL,Parliament Street,2019,1102
095,Annex,PM,Palmerston,2019,1176
133,Centennial Scarborough,PU,Port Union,2019,1076
046,Pleasant View,PV,Pleasant View,2019,681
070,South Riverdale,QS,Queen/Saulter,2019,722
068,North Riverdale,RD,Riverdale,2019,1466
007,Willowridge-Martingrove-Richview,RI,Richview,2019,3800
088,High Park North,RN,Runnymede,2019,2536
004,Rexdale-Kipling,RX,Rexdale,2019,514
078,Kensington-Chinatown,SA,Sanderson,2019,2158
156,Bendale -Glen Andrew,SC,Scarborough Civic Centre,2019,2836
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2019,254
074,North St. James Town,SJ,St. James Town,2019,2297
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2019,2550
095,Annex,SP,Spadina Road,2019,1083
116,Steeles,ST,Steeles,2019,1570
087,High Park-Swansea,SW,Swansea Memorial,2019,133
059,Danforth Village - East York,SWS,S. Walter Stewart,2019,1955
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2019,545
055,Thorncliffe Park,TH,Thorncliffe,2019,1948
058,Old East York,TOD,Todmorden Room,2019,244
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2019,14461
043,Victoria Village,VV,Victoria Village,2019,544
113,Weston,WE,Weston,2019,1518
022,Humbermede,WP,Woodview Park,2019,784
129,Agincourt North,WS,Woodside Square,2019,2341
096,Casa Loma,WY,Wychwood,2019,17
095,Annex,YO,Yorkville,2019,1349
025,Glenfield-Jane Heights,YW,York Woods,2019,2773
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2020,2072
120,Clairlea-Birchmount,ACD,Albert Campbell,2020,25
020,Alderwood,AD,Alderwood,2020,164
118,Tam O'Shanter-Sullivan,AG,Agincourt,2020,1064
039,Bedford Park-Nortown,AH,Armour Heights,2020,194
090,Junction Area,AN,Annette Street,2020,450
030,Brookhaven-Amesbury,AP,Amesbury Park,2020,408
150,Fenside-Parkwoods,BB,Brookbanks,2020,385
154,Oakdale-Beverley Heights,BC,Black Creek,2020,494
157,Bendale South,BD,Bendale,2020,341
063,The Beaches,BE,Beaches,2020,813
032,Englemount-Lawrence,BF,Barbara Frum,2020,862
083,Dufferin Grove,BL,Bloor/Gladstone,2020,1344
015,Kingsway South,BR,Brentwood,2020,917
147,L'Amoreaux West,BRW,Bridlewood,2020,673
146,Malvern East,BUR,Burrows Hall,2020,203
123,Cliffcrest,CC,Cliffcrest,2020,504
035,Westminster-Branson,CE,Centennial,2020,758
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2020,1594
170,Yonge-Bay Corridor,CH,City Hall,2020,1268
037,Willowdale West,CL,North York Central Library,2020,3481
080,Palmerston-Little Italy,CS,College/Shaw,2020,544
064,Woodbine Corridor,DA,Danforth/Coxwell,2020,560
042,Banbury-Don Mills,DM,Don Mills,2020,805
155,Downsview,DO,Downsview,2020,691
098,Rosedale-Moore Park,DP,Deer Park,2020,782
054,O'Connor-Parkview,DR,Dawes Road,2020,501
094,Wychwood,DT,Davenport,2020,122
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2020,496
158,Islington,EA,Eatonville,2020,1151
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2020,143
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2020,164
052,Bayview Village,EN,Ethennonnhawahstihnen',2020,700
120,Clairlea-Birchmount,ES,Eglinton Square,2020,603
102,Forest Hill North,FH,Forest Hill,2020,442
165,Harbourfront-CityPlace,FO,Fort York,2020,1874
044,Flemingdon Park,FP,Flemingdon Park,2020,287
047,Don Valley Village,FV,Fairview,2020,2168
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2020,242
130,Milliken,GHP,Goldhawk Park,2020,299
140,Guildwood,GW,Guildwood,2020,227
016,Stonegate-Queensway,HB,Humber Bay,2020,172
134,Highland Creek,HC,Highland Creek,2020,388
048,Hillcrest Village,HIL,Hillcrest,2020,330
087,High Park-Swansea,HP,High Park,2020,625
021,Humber Summit,HS,Humber Summit,2020,192
001,West Humber-Clairville,HW,Humberwood,2020,116
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2020,572
070,South Riverdale,JO,Jones,2020,339
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2020,617
125,Ionview,KE,Kennedy/Eglinton,2020,507
019,Long Branch,LB,Long Branch,2020,354
056,Leaside-Bennington,LE,Leaside,2020,625
103,Lawrence Park South,LO,Locke,2020,891
078,Kensington-Chinatown,LS,Lillian H. Smith,2020,1285
062,East End-Danforth,MA,Main Street,2020,462
146,Malvern East,MAL,Malvern,2020,1042
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2020,670
126,Dorset Park,MCG,McGregor Park,2020,538
115,Mount Dennis,MD,Mount Dennis,2020,358
160,Mimico-Queensway,MI,Mimico Centennial,2020,483
099,Mount Pleasant East,MP,Mount Pleasant,2020,147
119,Wexford-Maryvale,MRV,Maryvale,2020,331
136,West Hill,MS,Morningside,2020,633
100,Yonge-Eglinton,ND,Northern District,2020,1539
001,West Humber-Clairville,NE,Northern Elms,2020,210
018,New Toronto,NT,New Toronto,2020,254
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2020,341
069,Blake-Jones,PA,Pape/Danforth,2020,824
171,Junction-Wallace Emerson,PE,Perth/Dupont,2020,113
085,South Parkdale,PK,Parkdale,2020,1201
073,Moss Park,PL,Parliament Street,2020,965
095,Annex,PM,Palmerston,2020,604
133,Centennial Scarborough,PU,Port Union,2020,195
046,Pleasant View,PV,Pleasant View,2020,248
070,South Riverdale,QS,Queen/Saulter,2020,168
068,North Riverdale,RD,Riverdale,2020,517
007,Willowridge-Martingrove-Richview,RI,Richview,2020,1230
088,High Park North,RN,Runnymede,2020,886
004,Rexdale-Kipling,RX,Rexdale,2020,108
078,Kensington-Chinatown,SA,Sanderson,2020,628
156,Bendale -Glen Andrew,SC,Scarborough Civic Centre,2020,995
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2020,186
074,North St. James Town,SJ,St. James Town,2020,378
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2020,980
095,Annex,SP,Spadina Road,2020,187
116,Steeles,ST,Steeles,2020,315
087,High Park-Swansea,SW,Swansea Memorial,2020,16
059,Danforth Village - East York,SWS,S. Walter Stewart,2020,561
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2020,212
055,Thorncliffe Park,TH,Thorncliffe,2020,525
058,Old East York,TOD,Todmorden Room,2020,45
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2020,4261
043,Victoria Village,VV,Victoria Village,2020,207
113,Weston,WE,Weston,2020,445
022,Humbermede,WP,Woodview Park,2020,252
129,Agincourt North,WS,Woodside Square,2020,503
096,Casa Loma,WY,Wychwood,2020,4
095,Annex,YO,Yorkville,2020,278
025,Glenfield-Jane Heights,YW,York Woods,2020,396
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2021,1953
120,Clairlea-Birchmount,ACD,Albert Campbell,2021,154
020,Alderwood,AD,Alderwood,2021,363
118,Tam O'Shanter-Sullivan,AG,Agincourt,2021,1194
039,Bedford Park-Nortown,AH,Armour Heights,2021,233
090,Junction Area,AN,Annette Street,2021,462
030,Brookhaven-Amesbury,AP,Amesbury Park,2021,328
150,Fenside-Parkwoods,BB,Brookbanks,2021,393
154,Oakdale-Beverley Heights,BC,Black Creek,2021,284
157,Bendale South,BD,Bendale,2021,450
063,The Beaches,BE,Beaches,2021,873
032,Englemount-Lawrence,BF,Barbara Frum,2021,939
083,Dufferin Grove,BL,Bloor/Gladstone,2021,1356
015,Kingsway South,BR,Brentwood,2021,1031
147,L'Amoreaux West,BRW,Bridlewood,2021,1199
146,Malvern East,BUR,Burrows Hall,2021,217
123,Cliffcrest,CC,Cliffcrest,2021,494
035,Westminster-Branson,CE,Centennial,2021,819
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2021,1518
170,Yonge-Bay Corridor,CH,City Hall,2021,28
037,Willowdale West,CL,North York Central Library,2021,3894
080,Palmerston-Little Italy,CS,College/Shaw,2021,625
064,Woodbine Corridor,DA,Danforth/Coxwell,2021,589
042,Banbury-Don Mills,DM,Don Mills,2021,940
155,Downsview,DO,Downsview,2021,801
098,Rosedale-Moore Park,DP,Deer Park,2021,1186
054,O'Connor-Parkview,DR,Dawes Road,2021,550
094,Wychwood,DT,Davenport,2021,51
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2021,501
158,Islington,EA,Eatonville,2021,1166
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2021,209
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2021,249
052,Bayview Village,EN,Ethennonnhawahstihnen',2021,1224
120,Clairlea-Birchmount,ES,Eglinton Square,2021,896
102,Forest Hill North,FH,Forest Hill,2021,500
165,Harbourfront-CityPlace,FO,Fort York,2021,2709
044,Flemingdon Park,FP,Flemingdon Park,2021,536
047,Don Valley Village,FV,Fairview,2021,2589
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2021,311
130,Milliken,GHP,Goldhawk Park,2021,404
140,Guildwood,GW,Guildwood,2021,239
016,Stonegate-Queensway,HB,Humber Bay,2021,210
134,Highland Creek,HC,Highland Creek,2021,496
048,Hillcrest Village,HIL,Hillcrest,2021,499
087,High Park-Swansea,HP,High Park,2021,629
021,Humber Summit,HS,Humber Summit,2021,204
001,West Humber-Clairville,HW,Humberwood,2021,254
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2021,540
070,South Riverdale,JO,Jones,2021,372
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2021,564
125,Ionview,KE,Kennedy/Eglinton,2021,726
019,Long Branch,LB,Long Branch,2021,387
056,Leaside-Bennington,LE,Leaside,2021,851
103,Lawrence Park South,LO,Locke,2021,842
078,Kensington-Chinatown,LS,Lillian H. Smith,2021,1927
062,East End-Danforth,MA,Main Street,2021,521
146,Malvern East,MAL,Malvern,2021,1097
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2021,727
126,Dorset Park,MCG,McGregor Park,2021,608
115,Mount Dennis,MD,Mount Dennis,2021,323
160,Mimico-Queensway,MI,Mimico Centennial,2021,527
099,Mount Pleasant East,MP,Mount Pleasant,2021,4
119,Wexford-Maryvale,MRV,Maryvale,2021,449
136,West Hill,MS,Morningside,2021,663
100,Yonge-Eglinton,ND,Northern District,2021,1765
001,West Humber-Clairville,NE,Northern Elms,2021,175
018,New Toronto,NT,New Toronto,2021,260
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2021,431
069,Blake-Jones,PA,Pape/Danforth,2021,746
171,Junction-Wallace Emerson,PE,Perth/Dupont,2021,136
085,South Parkdale,PK,Parkdale,2021,1225
073,Moss Park,PL,Parliament Street,2021,1001
095,Annex,PM,Palmerston,2021,556
133,Centennial Scarborough,PU,Port Union,2021,245
046,Pleasant View,PV,Pleasant View,2021,245
070,South Riverdale,QS,Queen/Saulter,2021,190
068,North Riverdale,RD,Riverdale,2021,584
007,Willowridge-Martingrove-Richview,RI,Richview,2021,1232
088,High Park North,RN,Runnymede,2021,995
004,Rexdale-Kipling,RX,Rexdale,2021,173
078,Kensington-Chinatown,SA,Sanderson,2021,663
156,Bendale -Glen Andrew,SC,Scarborough Civic Centre,2021,1214
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2021,254
074,North St. James Town,SJ,St. James Town,2021,350
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2021,1068
095,Annex,SP,Spadina Road,2021,267
116,Steeles,ST,Steeles,2021,418
087,High Park-Swansea,SW,Swansea Memorial,2021,1
059,Danforth Village - East York,SWS,S. Walter Stewart,2021,648
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2021,245
055,Thorncliffe Park,TH,Thorncliffe,2021,580
058,Old East York,TOD,Todmorden Room,2021,50
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2021,3815
043,Victoria Village,VV,Victoria Village,2021,226
113,Weston,WE,Weston,2021,488
022,Humbermede,WP,Woodview Park,2021,190
129,Agincourt North,WS,Woodside Square,2021,754
096,Casa Loma,WY,Wychwood,2021,18
095,Annex,YO,Yorkville,2021,464
025,Glenfield-Jane Heights,YW,York Woods,2021,415
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2022,5093
120,Clairlea-Birchmount,ACD,Albert Campbell,2022,1577
020,Alderwood,AD,Alderwood,2022,711
118,Tam O'Shanter-Sullivan,AG,Agincourt,2022,2959
039,Bedford Park-Nortown,AH,Armour Heights,2022,398
090,Junction Area,AN,Annette Street,2022,905
030,Brookhaven-Amesbury,AP,Amesbury Park,2022,1019
150,Fenside-Parkwoods,BB,Brookbanks,2022,933
154,Oakdale-Beverley Heights,BC,Black Creek,2022,994
157,Bendale South,BD,Bendale,2022,942
063,The Beaches,BE,Beaches,2022,1587
032,Englemount-Lawrence,BF,Barbara Frum,2022,2125
083,Dufferin Grove,BL,Bloor/Gladstone,2022,2694
015,Kingsway South,BR,Brentwood,2022,2116
147,L'Amoreaux West,BRW,Bridlewood,2022,2632
146,Malvern East,BUR,Burrows Hall,2022,835
123,Cliffcrest,CC,Cliffcrest,2022,1154
035,Westminster-Branson,CE,Centennial,2022,1848
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2022,3543
170,Yonge-Bay Corridor,CH,City Hall,2022,1938
037,Willowdale West,CL,North York Central Library,2022,9855
080,Palmerston-Little Italy,CS,College/Shaw,2022,1044
064,Woodbine Corridor,DA,Danforth/Coxwell,2022,1296
042,Banbury-Don Mills,DM,Don Mills,2022,1982
155,Downsview,DO,Downsview,2022,1978
098,Rosedale-Moore Park,DP,Deer Park,2022,1792
054,O'Connor-Parkview,DR,Dawes Road,2022,1149
094,Wychwood,DT,Davenport,2022,367
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2022,1010
158,Islington,EA,Eatonville,2022,2771
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2022,514
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2022,584
052,Bayview Village,EN,Ethennonnhawahstihnen',2022,2031
120,Clairlea-Birchmount,ES,Eglinton Square,2022,1928
102,Forest Hill North,FH,Forest Hill,2022,889
165,Harbourfront-CityPlace,FO,Fort York,2022,4509
044,Flemingdon Park,FP,Flemingdon Park,2022,1221
047,Don Valley Village,FV,Fairview,2022,5675
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2022,509
130,Milliken,GHP,Goldhawk Park,2022,819
140,Guildwood,GW,Guildwood,2022,430
016,Stonegate-Queensway,HB,Humber Bay,2022,651
134,Highland Creek,HC,Highland Creek,2022,811
048,Hillcrest Village,HIL,Hillcrest,2022,771
087,High Park-Swansea,HP,High Park,2022,1167
021,Humber Summit,HS,Humber Summit,2022,481
001,West Humber-Clairville,HW,Humberwood,2022,574
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2022,1404
070,South Riverdale,JO,Jones,2022,748
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2022,1398
125,Ionview,KE,Kennedy/Eglinton,2022,1859
019,Long Branch,LB,Long Branch,2022,736
056,Leaside-Bennington,LE,Leaside,2022,1432
103,Lawrence Park South,LO,Locke,2022,1204
078,Kensington-Chinatown,LS,Lillian H. Smith,2022,3242
062,East End-Danforth,MA,Main Street,2022,1040
146,Malvern East,MAL,Malvern,2022,2799
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2022,1424
126,Dorset Park,MCG,McGregor Park,2022,1434
115,Mount Dennis,MD,Mount Dennis,2022,866
160,Mimico-Queensway,MI,Mimico Centennial,2022,935
099,Mount Pleasant East,MP,Mount Pleasant,2022,7
119,Wexford-Maryvale,MRV,Maryvale,2022,1340
136,West Hill,MS,Morningside,2022,1557
100,Yonge-Eglinton,ND,Northern District,2022,3819
001,West Humber-Clairville,NE,Northern Elms,2022,380
018,New Toronto,NT,New Toronto,2022,698
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2022,691
069,Blake-Jones,PA,Pape/Danforth,2022,1515
171,Junction-Wallace Emerson,PE,Perth/Dupont,2022,442
085,South Parkdale,PK,Parkdale,2022,2718
073,Moss Park,PL,Parliament Street,2022,1873
095,Annex,PM,Palmerston,2022,879
133,Centennial Scarborough,PU,Port Union,2022,838
046,Pleasant View,PV,Pleasant View,2022,582
070,South Riverdale,QS,Queen/Saulter,2022,620
068,North Riverdale,RD,Riverdale,2022,976
007,Willowridge-Martingrove-Richview,RI,Richview,2022,3175
088,High Park North,RN,Runnymede,2022,2074
004,Rexdale-Kipling,RX,Rexdale,2022,365
078,Kensington-Chinatown,SA,Sanderson,2022,1257
156,Bendale -Glen Andrew,SC,Scarborough Civic Centre,2022,2536
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2022,450
074,North St. James Town,SJ,St. James Town,2022,1864
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2022,1880
095,Annex,SP,Spadina Road,2022,747
116,Steeles,ST,Steeles,2022,1097
087,High Park-Swansea,SW,Swansea Memorial,2022,157
059,Danforth Village - East York,SWS,S. Walter Stewart,2022,1488
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2022,408
055,Thorncliffe Park,TH,Thorncliffe,2022,1589
058,Old East York,TOD,Todmorden Room,2022,183
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2022,9448
043,Victoria Village,VV,Victoria Village,2022,444
113,Weston,WE,Weston,2022,1080
022,Humbermede,WP,Woodview Park,2022,413
129,Agincourt North,WS,Woodside Square,2022,1788
096,Casa Loma,WY,Wychwood,2022,1035
095,Annex,YO,Yorkville,2022,1081
025,Glenfield-Jane Heights,YW,York Woods,2022,1116
