NBHDNo,NBHDName,BranchCode,BranchName,Year,Sessions
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2012,132024
120,Clairlea-Birchmount,ACD,Albert Campbell,2012,131353
020,Alderwood,AD,Alderwood,2012,16279
118,Tam O'Shanter-Sullivan,AG,Agincourt,2012,140407
039,Bedford Park-Nortown,AH,Armour Heights,2012,11895
090,Junction Area,AN,Annette Street,2012,36663
030,Brookhaven-Amesbury,AP,Amesbury Park,2012,18961
150,Fenside-Parkwoods,BB,Brookbanks,2012,19784
154,Oakdale-Beverley Heights,BC,Black Creek,2012,25755
157,Bendale South,BD,Bendale,2012,19911
063,The Beaches,BE,Beaches,2012,45165
032,Englemount-Lawrence,BF,Barbara Frum,2012,101666
083,Dufferin Grove,BL,Bloor/Gladstone,2012,177112
015,Kingsway South,BR,Brentwood,2012,8276
147,L'Amoreaux West,BRW,Bridlewood,2012,41350
146,Malvern East,BUR,Burrows Hall,2012,25885
123,Cliffcrest,CC,Cliffcrest,2012,18786
035,Westminster-Branson,CE,Centennial,2012,28740
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2012,240834
170,Yonge-Bay Corridor,CH,City Hall,2012,30061
037,Willowdale West,CL,North York Central Library,2012,484789
080,Palmerston-Little Italy,CS,College/Shaw,2012,22640
064,Woodbine Corridor,DA,Danforth/Coxwell,2012,35962
042,Banbury-Don Mills,DM,Don Mills,2012,75424
155,Downsview,DO,Downsview,2012,103227
098,Rosedale-Moore Park,DP,Deer Park,2012,40648
054,O'Connor-Parkview,DR,Dawes Road,2012,48770
094,Wychwood,DT,Davenport,2012,6192
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2012,54256
158,Islington,EA,Eatonville,2012,48329
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2012,8451
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2012,30367
052,Bayview Village,EN,Ethennonnhawahstihnen',2012,21394
120,Clairlea-Birchmount,ES,Eglinton Square,2012,34997
102,Forest Hill North,FH,Forest Hill,2012,20652
044,Flemingdon Park,FP,Flemingdon Park,2012,55771
047,Don Valley Village,FV,Fairview,2012,164649
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2012,21811
130,Milliken,GHP,Goldhawk Park,2012,46660
140,Guildwood,GW,Guildwood,2012,11027
016,Stonegate-Queensway,HB,Humber Bay,2012,8441
134,Highland Creek,HC,Highland Creek,2012,23497
048,Hillcrest Village,HIL,Hillcrest,2012,32986
087,High Park-Swansea,HP,High Park,2012,39306
021,Humber Summit,HS,Humber Summit,2012,31763
001,West Humber-Clairville,HW,Humberwood,2012,31205
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2012,71573
070,South Riverdale,JO,Jones,2012,30753
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2012,46352
125,Ionview,KE,Kennedy/Eglinton,2012,38399
019,Long Branch,LB,Long Branch,2012,26643
056,Leaside-Bennington,LE,Leaside,2012,25308
103,Lawrence Park South,LO,Locke,2012,42570
078,Kensington-Chinatown,LS,Lillian H. Smith,2012,188318
062,East End-Danforth,MA,Main Street,2012,35881
146,Malvern East,MAL,Malvern,2012,165136
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2012,132310
126,Dorset Park,MCG,McGregor Park,2012,39797
160,Mimico-Queensway,MI,Mimico Centennial,2012,17454
099,Mount Pleasant East,MP,Mount Pleasant,2012,5328
119,Wexford-Maryvale,MRV,Maryvale,2012,31081
136,West Hill,MS,Morningside,2012,34166
100,Yonge-Eglinton,ND,Northern District,2012,127600
001,West Humber-Clairville,NE,Northern Elms,2012,12532
018,New Toronto,NT,New Toronto,2012,26430
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2012,35837
069,Blake-Jones,PA,Pape/Danforth,2012,70725
171,Junction-Wallace Emerson,PE,Perth/Dupont,2012,10329
085,South Parkdale,PK,Parkdale,2012,111474
073,Moss Park,PL,Parliament Street,2012,60005
095,Annex,PM,Palmerston,2012,21846
133,Centennial Scarborough,PU,Port Union,2012,15438
046,Pleasant View,PV,Pleasant View,2012,25879
070,South Riverdale,QS,Queen/Saulter,2012,12243
068,North Riverdale,RD,Riverdale,2012,73429
007,Willowridge-Martingrove-Richview,RI,Richview,2012,131921
088,High Park North,RN,Runnymede,2012,69640
004,Rexdale-Kipling,RX,Rexdale,2012,20822
078,Kensington-Chinatown,SA,Sanderson,2012,67645
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2012,15156
074,North St. James Town,SJ,St. James Town,2012,64006
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2012,23702
095,Annex,SP,Spadina Road,2012,11709
116,Steeles,ST,Steeles,2012,37604
087,High Park-Swansea,SW,Swansea Memorial,2012,2759
059,Danforth Village - East York,SWS,S. Walter Stewart,2012,129468
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2012,13881
055,Thorncliffe Park,TH,Thorncliffe,2012,80657
058,Old East York,TOD,Todmorden Room,2012,2820
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2012,727822
043,Victoria Village,VV,Victoria Village,2012,14772
113,Weston,WE,Weston,2012,40117
022,Humbermede,WP,Woodview Park,2012,19629
129,Agincourt North,WS,Woodside Square,2012,105207
096,Casa Loma,WY,Wychwood,2012,44020
095,Annex,YO,Yorkville,2012,32464
025,Glenfield-Jane Heights,YW,York Woods,2012,172783
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2013,139402
120,Clairlea-Birchmount,ACD,Albert Campbell,2013,133591
020,Alderwood,AD,Alderwood,2013,16238
118,Tam O'Shanter-Sullivan,AG,Agincourt,2013,180672
039,Bedford Park-Nortown,AH,Armour Heights,2013,11250
090,Junction Area,AN,Annette Street,2013,30396
030,Brookhaven-Amesbury,AP,Amesbury Park,2013,17788
150,Fenside-Parkwoods,BB,Brookbanks,2013,22950
154,Oakdale-Beverley Heights,BC,Black Creek,2013,21560
157,Bendale South,BD,Bendale,2013,22293
063,The Beaches,BE,Beaches,2013,46488
032,Englemount-Lawrence,BF,Barbara Frum,2013,112745
083,Dufferin Grove,BL,Bloor/Gladstone,2013,171160
015,Kingsway South,BR,Brentwood,2013,84403
147,L'Amoreaux West,BRW,Bridlewood,2013,43375
146,Malvern East,BUR,Burrows Hall,2013,27563
123,Cliffcrest,CC,Cliffcrest,2013,17750
035,Westminster-Branson,CE,Centennial,2013,29350
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2013,260191
170,Yonge-Bay Corridor,CH,City Hall,2013,31225
037,Willowdale West,CL,North York Central Library,2013,545403
080,Palmerston-Little Italy,CS,College/Shaw,2013,21563
064,Woodbine Corridor,DA,Danforth/Coxwell,2013,39138
042,Banbury-Don Mills,DM,Don Mills,2013,81804
155,Downsview,DO,Downsview,2013,120176
098,Rosedale-Moore Park,DP,Deer Park,2013,52063
054,O'Connor-Parkview,DR,Dawes Road,2013,49088
094,Wychwood,DT,Davenport,2013,7000
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2013,63350
158,Islington,EA,Eatonville,2013,43594
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2013,7575
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2013,29788
052,Bayview Village,EN,Ethennonnhawahstihnen',2013,25243
120,Clairlea-Birchmount,ES,Eglinton Square,2013,39200
102,Forest Hill North,FH,Forest Hill,2013,19988
044,Flemingdon Park,FP,Flemingdon Park,2013,59211
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2013,21888
130,Milliken,GHP,Goldhawk Park,2013,48736
140,Guildwood,GW,Guildwood,2013,12550
016,Stonegate-Queensway,HB,Humber Bay,2013,8675
134,Highland Creek,HC,Highland Creek,2013,22513
048,Hillcrest Village,HIL,Hillcrest,2013,55275
087,High Park-Swansea,HP,High Park,2013,41600
021,Humber Summit,HS,Humber Summit,2013,30800
001,West Humber-Clairville,HW,Humberwood,2013,36038
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2013,75575
070,South Riverdale,JO,Jones,2013,28675
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2013,48988
125,Ionview,KE,Kennedy/Eglinton,2013,38200
019,Long Branch,LB,Long Branch,2013,26575
056,Leaside-Bennington,LE,Leaside,2013,27025
103,Lawrence Park South,LO,Locke,2013,40425
078,Kensington-Chinatown,LS,Lillian H. Smith,2013,189215
062,East End-Danforth,MA,Main Street,2013,39548
146,Malvern East,MAL,Malvern,2013,181120
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2013,111379
126,Dorset Park,MCG,McGregor Park,2013,44723
115,Mount Dennis,MD,Mount Dennis,2013,44575
160,Mimico-Queensway,MI,Mimico Centennial,2013,21055
099,Mount Pleasant East,MP,Mount Pleasant,2013,5675
119,Wexford-Maryvale,MRV,Maryvale,2013,30713
136,West Hill,MS,Morningside,2013,39950
100,Yonge-Eglinton,ND,Northern District,2013,117777
001,West Humber-Clairville,NE,Northern Elms,2013,13700
018,New Toronto,NT,New Toronto,2013,22372
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2013,34600
069,Blake-Jones,PA,Pape/Danforth,2013,72263
171,Junction-Wallace Emerson,PE,Perth/Dupont,2013,9638
085,South Parkdale,PK,Parkdale,2013,128159
073,Moss Park,PL,Parliament Street,2013,69688
095,Annex,PM,Palmerston,2013,20863
133,Centennial Scarborough,PU,Port Union,2013,16875
046,Pleasant View,PV,Pleasant View,2013,41325
070,South Riverdale,QS,Queen/Saulter,2013,11863
068,North Riverdale,RD,Riverdale,2013,73788
007,Willowridge-Martingrove-Richview,RI,Richview,2013,118823
088,High Park North,RN,Runnymede,2013,67213
004,Rexdale-Kipling,RX,Rexdale,2013,18938
078,Kensington-Chinatown,SA,Sanderson,2013,69388
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2013,14225
074,North St. James Town,SJ,St. James Town,2013,62200
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2013,26075
095,Annex,SP,Spadina Road,2013,11245
116,Steeles,ST,Steeles,2013,37838
087,High Park-Swansea,SW,Swansea Memorial,2013,2575
059,Danforth Village - East York,SWS,S. Walter Stewart,2013,147925
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2013,15425
055,Thorncliffe Park,TH,Thorncliffe,2013,88100
058,Old East York,TOD,Todmorden Room,2013,3300
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2013,818494
043,Victoria Village,VV,Victoria Village,2013,13675
113,Weston,WE,Weston,2013,37488
022,Humbermede,WP,Woodview Park,2013,16738
129,Agincourt North,WS,Woodside Square,2013,114088
096,Casa Loma,WY,Wychwood,2013,43200
095,Annex,YO,Yorkville,2013,32475
025,Glenfield-Jane Heights,YW,York Woods,2013,176806
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2014,142159
120,Clairlea-Birchmount,ACD,Albert Campbell,2014,149898
020,Alderwood,AD,Alderwood,2014,16500
118,Tam O'Shanter-Sullivan,AG,Agincourt,2014,166023
039,Bedford Park-Nortown,AH,Armour Heights,2014,11800
090,Junction Area,AN,Annette Street,2014,28629
030,Brookhaven-Amesbury,AP,Amesbury Park,2014,18550
150,Fenside-Parkwoods,BB,Brookbanks,2014,26263
154,Oakdale-Beverley Heights,BC,Black Creek,2014,24600
157,Bendale South,BD,Bendale,2014,20538
063,The Beaches,BE,Beaches,2014,41963
032,Englemount-Lawrence,BF,Barbara Frum,2014,120551
083,Dufferin Grove,BL,Bloor/Gladstone,2014,174629
015,Kingsway South,BR,Brentwood,2014,83069
147,L'Amoreaux West,BRW,Bridlewood,2014,42088
146,Malvern East,BUR,Burrows Hall,2014,28275
123,Cliffcrest,CC,Cliffcrest,2014,18738
035,Westminster-Branson,CE,Centennial,2014,26025
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2014,258188
170,Yonge-Bay Corridor,CH,City Hall,2014,29988
037,Willowdale West,CL,North York Central Library,2014,496202
080,Palmerston-Little Italy,CS,College/Shaw,2014,21663
064,Woodbine Corridor,DA,Danforth/Coxwell,2014,38850
042,Banbury-Don Mills,DM,Don Mills,2014,85624
155,Downsview,DO,Downsview,2014,118894
098,Rosedale-Moore Park,DP,Deer Park,2014,54988
054,O'Connor-Parkview,DR,Dawes Road,2014,49650
094,Wychwood,DT,Davenport,2014,7150
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2014,59313
158,Islington,EA,Eatonville,2014,47626
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2014,6538
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2014,33350
052,Bayview Village,EN,Ethennonnhawahstihnen',2014,23452
120,Clairlea-Birchmount,ES,Eglinton Square,2014,37063
102,Forest Hill North,FH,Forest Hill,2014,20288
165,Harbourfront-CityPlace,FO,Fort York,2014,24150
044,Flemingdon Park,FP,Flemingdon Park,2014,51997
047,Don Valley Village,FV,Fairview,2014,167961
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2014,23425
130,Milliken,GHP,Goldhawk Park,2014,50442
140,Guildwood,GW,Guildwood,2014,12138
016,Stonegate-Queensway,HB,Humber Bay,2014,8900
134,Highland Creek,HC,Highland Creek,2014,24713
048,Hillcrest Village,HIL,Hillcrest,2014,31088
087,High Park-Swansea,HP,High Park,2014,44950
021,Humber Summit,HS,Humber Summit,2014,31213
001,West Humber-Clairville,HW,Humberwood,2014,34175
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2014,71413
070,South Riverdale,JO,Jones,2014,28863
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2014,48763
125,Ionview,KE,Kennedy/Eglinton,2014,39188
019,Long Branch,LB,Long Branch,2014,22363
056,Leaside-Bennington,LE,Leaside,2014,23925
103,Lawrence Park South,LO,Locke,2014,40625
078,Kensington-Chinatown,LS,Lillian H. Smith,2014,183539
062,East End-Danforth,MA,Main Street,2014,38513
146,Malvern East,MAL,Malvern,2014,175932
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2014,128615
126,Dorset Park,MCG,McGregor Park,2014,44396
115,Mount Dennis,MD,Mount Dennis,2014,64538
160,Mimico-Queensway,MI,Mimico Centennial,2014,22058
099,Mount Pleasant East,MP,Mount Pleasant,2014,5613
119,Wexford-Maryvale,MRV,Maryvale,2014,30650
136,West Hill,MS,Morningside,2014,41363
100,Yonge-Eglinton,ND,Northern District,2014,106577
001,West Humber-Clairville,NE,Northern Elms,2014,12938
018,New Toronto,NT,New Toronto,2014,23049
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2014,36975
069,Blake-Jones,PA,Pape/Danforth,2014,71899
171,Junction-Wallace Emerson,PE,Perth/Dupont,2014,10063
085,South Parkdale,PK,Parkdale,2014,133343
073,Moss Park,PL,Parliament Street,2014,68339
095,Annex,PM,Palmerston,2014,19988
133,Centennial Scarborough,PU,Port Union,2014,18088
046,Pleasant View,PV,Pleasant View,2014,22738
070,South Riverdale,QS,Queen/Saulter,2014,11150
068,North Riverdale,RD,Riverdale,2014,74888
007,Willowridge-Martingrove-Richview,RI,Richview,2014,120461
088,High Park North,RN,Runnymede,2014,68213
004,Rexdale-Kipling,RX,Rexdale,2014,18875
078,Kensington-Chinatown,SA,Sanderson,2014,66100
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2014,14225
074,North St. James Town,SJ,St. James Town,2014,65038
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2014,25688
095,Annex,SP,Spadina Road,2014,13242
116,Steeles,ST,Steeles,2014,27963
087,High Park-Swansea,SW,Swansea Memorial,2014,2488
059,Danforth Village - East York,SWS,S. Walter Stewart,2014,137354
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2014,14925
055,Thorncliffe Park,TH,Thorncliffe,2014,89775
058,Old East York,TOD,Todmorden Room,2014,6225
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2014,776844
043,Victoria Village,VV,Victoria Village,2014,14638
113,Weston,WE,Weston,2014,40363
022,Humbermede,WP,Woodview Park,2014,19200
129,Agincourt North,WS,Woodside Square,2014,104775
096,Casa Loma,WY,Wychwood,2014,37747
095,Annex,YO,Yorkville,2014,32850
025,Glenfield-Jane Heights,YW,York Woods,2014,185228
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2015,142187
120,Clairlea-Birchmount,ACD,Albert Campbell,2015,145984
020,Alderwood,AD,Alderwood,2015,16700
118,Tam O'Shanter-Sullivan,AG,Agincourt,2015,158536
039,Bedford Park-Nortown,AH,Armour Heights,2015,11013
090,Junction Area,AN,Annette Street,2015,34038
030,Brookhaven-Amesbury,AP,Amesbury Park,2015,16300
150,Fenside-Parkwoods,BB,Brookbanks,2015,19700
154,Oakdale-Beverley Heights,BC,Black Creek,2015,24413
157,Bendale South,BD,Bendale,2015,21100
063,The Beaches,BE,Beaches,2015,48525
032,Englemount-Lawrence,BF,Barbara Frum,2015,131127
083,Dufferin Grove,BL,Bloor/Gladstone,2015,179859
015,Kingsway South,BR,Brentwood,2015,84937
147,L'Amoreaux West,BRW,Bridlewood,2015,41463
146,Malvern East,BUR,Burrows Hall,2015,28463
123,Cliffcrest,CC,Cliffcrest,2015,18638
035,Westminster-Branson,CE,Centennial,2015,27188
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2015,243984
170,Yonge-Bay Corridor,CH,City Hall,2015,29788
037,Willowdale West,CL,North York Central Library,2015,477283
080,Palmerston-Little Italy,CS,College/Shaw,2015,21188
064,Woodbine Corridor,DA,Danforth/Coxwell,2015,37125
042,Banbury-Don Mills,DM,Don Mills,2015,86525
155,Downsview,DO,Downsview,2015,109770
098,Rosedale-Moore Park,DP,Deer Park,2015,60138
054,O'Connor-Parkview,DR,Dawes Road,2015,43475
094,Wychwood,DT,Davenport,2015,6688
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2015,54700
158,Islington,EA,Eatonville,2015,46633
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2015,6850
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2015,34325
052,Bayview Village,EN,Ethennonnhawahstihnen',2015,19505
120,Clairlea-Birchmount,ES,Eglinton Square,2015,37650
102,Forest Hill North,FH,Forest Hill,2015,21600
165,Harbourfront-CityPlace,FO,Fort York,2015,49513
044,Flemingdon Park,FP,Flemingdon Park,2015,50388
047,Don Valley Village,FV,Fairview,2015,232297
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2015,25863
130,Milliken,GHP,Goldhawk Park,2015,49572
140,Guildwood,GW,Guildwood,2015,12600
016,Stonegate-Queensway,HB,Humber Bay,2015,8725
134,Highland Creek,HC,Highland Creek,2015,21838
048,Hillcrest Village,HIL,Hillcrest,2015,31550
087,High Park-Swansea,HP,High Park,2015,43475
021,Humber Summit,HS,Humber Summit,2015,27700
001,West Humber-Clairville,HW,Humberwood,2015,21575
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2015,64375
070,South Riverdale,JO,Jones,2015,25888
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2015,48325
125,Ionview,KE,Kennedy/Eglinton,2015,37925
019,Long Branch,LB,Long Branch,2015,25550
056,Leaside-Bennington,LE,Leaside,2015,25913
103,Lawrence Park South,LO,Locke,2015,42075
078,Kensington-Chinatown,LS,Lillian H. Smith,2015,176522
062,East End-Danforth,MA,Main Street,2015,35975
146,Malvern East,MAL,Malvern,2015,170307
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2015,135937
126,Dorset Park,MCG,McGregor Park,2015,42142
115,Mount Dennis,MD,Mount Dennis,2015,55913
160,Mimico-Queensway,MI,Mimico Centennial,2015,21475
099,Mount Pleasant East,MP,Mount Pleasant,2015,6138
119,Wexford-Maryvale,MRV,Maryvale,2015,32938
136,West Hill,MS,Morningside,2015,42363
100,Yonge-Eglinton,ND,Northern District,2015,112235
