NBHDNo,NBHDName,BranchCode,BranchName,Year,Sessions
001,West Humber-Clairville,NE,Northern Elms,2015,11325
018,New Toronto,NT,New Toronto,2015,22853
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2015,37863
069,Blake-Jones,PA,Pape/Danforth,2015,75404
171,Junction-Wallace Emerson,PE,Perth/Dupont,2015,8113
085,South Parkdale,PK,Parkdale,2015,127130
073,Moss Park,PL,Parliament Street,2015,68269
095,Annex,PM,Palmerston,2015,18800
133,Centennial Scarborough,PU,Port Union,2015,16450
046,Pleasant View,PV,Pleasant View,2015,22488
070,South Riverdale,QS,Queen/Saulter,2015,11100
068,North Riverdale,RD,Riverdale,2015,73775
007,Willowridge-Martingrove-Richview,RI,Richview,2015,113426
088,High Park North,RN,Runnymede,2015,65663
004,Rexdale-Kipling,RX,Rexdale,2015,20063
078,Kensington-Chinatown,SA,Sanderson,2015,67425
156,Bendale -Glen Andrew,SC,Scarborough Civic Centre,2015,27325
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2015,13925
074,North St. James Town,SJ,St. James Town,2015,57375
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2015,22051
095,Annex,SP,Spadina Road,2015,14813
116,Steeles,ST,Steeles,2015,34800
087,High Park-Swansea,SW,Swansea Memorial,2015,2600
059,Danforth Village - East York,SWS,S. Walter Stewart,2015,138960
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2015,18588
055,Thorncliffe Park,TH,Thorncliffe,2015,79150
058,Old East York,TOD,Todmorden Room,2015,5438
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2015,901258
043,Victoria Village,VV,Victoria Village,2015,12950
113,Weston,WE,Weston,2015,46263
022,Humbermede,WP,Woodview Park,2015,21425
129,Agincourt North,WS,Woodside Square,2015,106963
096,Casa Loma,WY,Wychwood,2015,37263
095,Annex,YO,Yorkville,2015,32313
025,Glenfield-Jane Heights,YW,York Woods,2015,193860
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2016,140606
120,Clairlea-Birchmount,ACD,Albert Campbell,2016,149712
020,Alderwood,AD,Alderwood,2016,16338
118,Tam O'Shanter-Sullivan,AG,Agincourt,2016,103406
039,Bedford Park-Nortown,AH,Armour Heights,2016,10988
090,Junction Area,AN,Annette Street,2016,29238
030,Brookhaven-Amesbury,AP,Amesbury Park,2016,16563
150,Fenside-Parkwoods,BB,Brookbanks,2016,19713
154,Oakdale-Beverley Heights,BC,Black Creek,2016,21763
157,Bendale South,BD,Bendale,2016,18088
063,The Beaches,BE,Beaches,2016,45825
032,Englemount-Lawrence,BF,Barbara Frum,2016,121863
083,Dufferin Grove,BL,Bloor/Gladstone,2016,168193
015,Kingsway South,BR,Brentwood,2016,84596
147,L'Amoreaux West,BRW,Bridlewood,2016,40138
146,Malvern East,BUR,Burrows Hall,2016,24950
123,Cliffcrest,CC,Cliffcrest,2016,19413
035,Westminster-Branson,CE,Centennial,2016,28213
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2016,249984
170,Yonge-Bay Corridor,CH,City Hall,2016,30938
037,Willowdale West,CL,North York Central Library,2016,433079
080,Palmerston-Little Italy,CS,College/Shaw,2016,21813
064,Woodbine Corridor,DA,Danforth/Coxwell,2016,37150
042,Banbury-Don Mills,DM,Don Mills,2016,88066
155,Downsview,DO,Downsview,2016,113701
098,Rosedale-Moore Park,DP,Deer Park,2016,59513
054,O'Connor-Parkview,DR,Dawes Road,2016,46688
094,Wychwood,DT,Davenport,2016,6113
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2016,51225
158,Islington,EA,Eatonville,2016,45770
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2016,7325
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2016,30325
052,Bayview Village,EN,Ethennonnhawahstihnen',2016,23800
120,Clairlea-Birchmount,ES,Eglinton Square,2016,18675
102,Forest Hill North,FH,Forest Hill,2016,20350
165,Harbourfront-CityPlace,FO,Fort York,2016,48088
044,Flemingdon Park,FP,Flemingdon Park,2016,49910
047,Don Valley Village,FV,Fairview,2016,224402
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2016,23825
130,Milliken,GHP,Goldhawk Park,2016,45802
140,Guildwood,GW,Guildwood,2016,12000
016,Stonegate-Queensway,HB,Humber Bay,2016,8825
134,Highland Creek,HC,Highland Creek,2016,19238
048,Hillcrest Village,HIL,Hillcrest,2016,29013
087,High Park-Swansea,HP,High Park,2016,39725
021,Humber Summit,HS,Humber Summit,2016,21488
001,West Humber-Clairville,HW,Humberwood,2016,18000
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2016,64400
070,South Riverdale,JO,Jones,2016,23288
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2016,47725
125,Ionview,KE,Kennedy/Eglinton,2016,36150
019,Long Branch,LB,Long Branch,2016,24788
056,Leaside-Bennington,LE,Leaside,2016,24488
103,Lawrence Park South,LO,Locke,2016,47125
078,Kensington-Chinatown,LS,Lillian H. Smith,2016,165859
062,East End-Danforth,MA,Main Street,2016,35813
146,Malvern East,MAL,Malvern,2016,167069
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2016,142462
126,Dorset Park,MCG,McGregor Park,2016,37741
115,Mount Dennis,MD,Mount Dennis,2016,55175
160,Mimico-Queensway,MI,Mimico Centennial,2016,23175
099,Mount Pleasant East,MP,Mount Pleasant,2016,6250
119,Wexford-Maryvale,MRV,Maryvale,2016,34313
136,West Hill,MS,Morningside,2016,41988
100,Yonge-Eglinton,ND,Northern District,2016,117080
001,West Humber-Clairville,NE,Northern Elms,2016,11488
018,New Toronto,NT,New Toronto,2016,22585
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2016,37238
069,Blake-Jones,PA,Pape/Danforth,2016,74158
171,Junction-Wallace Emerson,PE,Perth/Dupont,2016,7863
085,South Parkdale,PK,Parkdale,2016,125610
073,Moss Park,PL,Parliament Street,2016,69344
095,Annex,PM,Palmerston,2016,19938
133,Centennial Scarborough,PU,Port Union,2016,16613
046,Pleasant View,PV,Pleasant View,2016,22363
070,South Riverdale,QS,Queen/Saulter,2016,11850
068,North Riverdale,RD,Riverdale,2016,70700
007,Willowridge-Martingrove-Richview,RI,Richview,2016,107685
088,High Park North,RN,Runnymede,2016,63363
004,Rexdale-Kipling,RX,Rexdale,2016,19550
078,Kensington-Chinatown,SA,Sanderson,2016,62700
156,Bendale -Glen Andrew,SC,Scarborough Civic Centre,2016,52375
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2016,13838
074,North St. James Town,SJ,St. James Town,2016,56575
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2016,23779
095,Annex,SP,Spadina Road,2016,13988
116,Steeles,ST,Steeles,2016,34700
087,High Park-Swansea,SW,Swansea Memorial,2016,2125
059,Danforth Village - East York,SWS,S. Walter Stewart,2016,114635
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2016,14738
055,Thorncliffe Park,TH,Thorncliffe,2016,76875
058,Old East York,TOD,Todmorden Room,2016,4263
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2016,917498
043,Victoria Village,VV,Victoria Village,2016,12638
113,Weston,WE,Weston,2016,41188
022,Humbermede,WP,Woodview Park,2016,24763
129,Agincourt North,WS,Woodside Square,2016,101650
096,Casa Loma,WY,Wychwood,2016,36875
095,Annex,YO,Yorkville,2016,29425
025,Glenfield-Jane Heights,YW,York Woods,2016,172467
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2017,137999
120,Clairlea-Birchmount,ACD,Albert Campbell,2017,150308
020,Alderwood,AD,Alderwood,2017,15213
118,Tam O'Shanter-Sullivan,AG,Agincourt,2017,134675
039,Bedford Park-Nortown,AH,Armour Heights,2017,11225
090,Junction Area,AN,Annette Street,2017,37370
030,Brookhaven-Amesbury,AP,Amesbury Park,2017,7439
150,Fenside-Parkwoods,BB,Brookbanks,2017,16113
154,Oakdale-Beverley Heights,BC,Black Creek,2017,19913
157,Bendale South,BD,Bendale,2017,18675
063,The Beaches,BE,Beaches,2017,40875
032,Englemount-Lawrence,BF,Barbara Frum,2017,132868
083,Dufferin Grove,BL,Bloor/Gladstone,2017,171813
015,Kingsway South,BR,Brentwood,2017,86113
147,L'Amoreaux West,BRW,Bridlewood,2017,43341
146,Malvern East,BUR,Burrows Hall,2017,20938
123,Cliffcrest,CC,Cliffcrest,2017,16188
035,Westminster-Branson,CE,Centennial,2017,35950
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2017,197151
170,Yonge-Bay Corridor,CH,City Hall,2017,33700
080,Palmerston-Little Italy,CS,College/Shaw,2017,20363
064,Woodbine Corridor,DA,Danforth/Coxwell,2017,36600
042,Banbury-Don Mills,DM,Don Mills,2017,90243
155,Downsview,DO,Downsview,2017,99707
098,Rosedale-Moore Park,DP,Deer Park,2017,54350
054,O'Connor-Parkview,DR,Dawes Road,2017,45450
094,Wychwood,DT,Davenport,2017,6100
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2017,49488
158,Islington,EA,Eatonville,2017,43683
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2017,7175
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2017,25888
052,Bayview Village,EN,Ethennonnhawahstihnen',2017,29604
120,Clairlea-Birchmount,ES,Eglinton Square,2017,24088
102,Forest Hill North,FH,Forest Hill,2017,21500
165,Harbourfront-CityPlace,FO,Fort York,2017,47162
044,Flemingdon Park,FP,Flemingdon Park,2017,39266
047,Don Valley Village,FV,Fairview,2017,215656
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2017,24038
130,Milliken,GHP,Goldhawk Park,2017,39670
140,Guildwood,GW,Guildwood,2017,11088
016,Stonegate-Queensway,HB,Humber Bay,2017,8038
134,Highland Creek,HC,Highland Creek,2017,19175
048,Hillcrest Village,HIL,Hillcrest,2017,27575
087,High Park-Swansea,HP,High Park,2017,41913
021,Humber Summit,HS,Humber Summit,2017,7225
001,West Humber-Clairville,HW,Humberwood,2017,16050
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2017,63875
070,South Riverdale,JO,Jones,2017,21488
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2017,39475
125,Ionview,KE,Kennedy/Eglinton,2017,39175
019,Long Branch,LB,Long Branch,2017,19427
056,Leaside-Bennington,LE,Leaside,2017,25313
103,Lawrence Park South,LO,Locke,2017,46140
078,Kensington-Chinatown,LS,Lillian H. Smith,2017,111803
062,East End-Danforth,MA,Main Street,2017,32700
146,Malvern East,MAL,Malvern,2017,158550
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2017,121564
126,Dorset Park,MCG,McGregor Park,2017,36807
115,Mount Dennis,MD,Mount Dennis,2017,53466
160,Mimico-Queensway,MI,Mimico Centennial,2017,24663
099,Mount Pleasant East,MP,Mount Pleasant,2017,5738
119,Wexford-Maryvale,MRV,Maryvale,2017,33900
136,West Hill,MS,Morningside,2017,39488
100,Yonge-Eglinton,ND,Northern District,2017,120673
001,West Humber-Clairville,NE,Northern Elms,2017,10788
018,New Toronto,NT,New Toronto,2017,23478
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2017,33188
069,Blake-Jones,PA,Pape/Danforth,2017,59407
171,Junction-Wallace Emerson,PE,Perth/Dupont,2017,8425
085,South Parkdale,PK,Parkdale,2017,122844
073,Moss Park,PL,Parliament Street,2017,66423
095,Annex,PM,Palmerston,2017,23100
133,Centennial Scarborough,PU,Port Union,2017,12475
046,Pleasant View,PV,Pleasant View,2017,17593
070,South Riverdale,QS,Queen/Saulter,2017,10863
068,North Riverdale,RD,Riverdale,2017,71813
007,Willowridge-Martingrove-Richview,RI,Richview,2017,82853
088,High Park North,RN,Runnymede,2017,38557
004,Rexdale-Kipling,RX,Rexdale,2017,17963
078,Kensington-Chinatown,SA,Sanderson,2017,66513
156,Bendale -Glen Andrew,SC,Scarborough Civic Centre,2017,63474
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2017,9487
074,North St. James Town,SJ,St. James Town,2017,58200
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2017,23888
095,Annex,SP,Spadina Road,2017,13775
116,Steeles,ST,Steeles,2017,31163
087,High Park-Swansea,SW,Swansea Memorial,2017,5525
059,Danforth Village - East York,SWS,S. Walter Stewart,2017,119109
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2017,13329
055,Thorncliffe Park,TH,Thorncliffe,2017,71175
058,Old East York,TOD,Todmorden Room,2017,4375
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2017,867212
043,Victoria Village,VV,Victoria Village,2017,12050
113,Weston,WE,Weston,2017,37813
022,Humbermede,WP,Woodview Park,2017,23938
129,Agincourt North,WS,Woodside Square,2017,97263
096,Casa Loma,WY,Wychwood,2017,36463
095,Annex,YO,Yorkville,2017,29238
025,Glenfield-Jane Heights,YW,York Woods,2017,157821
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2018,111939
120,Clairlea-Birchmount,ACD,Albert Campbell,2018,82784
020,Alderwood,AD,Alderwood,2018,12162
118,Tam O'Shanter-Sullivan,AG,Agincourt,2018,112149
039,Bedford Park-Nortown,AH,Armour Heights,2018,9753
090,Junction Area,AN,Annette Street,2018,21239
030,Brookhaven-Amesbury,AP,Amesbury Park,2018,13010
150,Fenside-Parkwoods,BB,Brookbanks,2018,16333
154,Oakdale-Beverley Heights,BC,Black Creek,2018,24989
157,Bendale South,BD,Bendale,2018,14323
063,The Beaches,BE,Beaches,2018,31292
032,Englemount-Lawrence,BF,Barbara Frum,2018,76409
083,Dufferin Grove,BL,Bloor/Gladstone,2018,128177
015,Kingsway South,BR,Brentwood,2018,57702
147,L'Amoreaux West,BRW,Bridlewood,2018,51202
146,Malvern East,BUR,Burrows Hall,2018,16232
123,Cliffcrest,CC,Cliffcrest,2018,14475
035,Westminster-Branson,CE,Centennial,2018,26974
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2018,133544
170,Yonge-Bay Corridor,CH,City Hall,2018,50205
037,Willowdale West,CL,North York Central Library,2018,121507
080,Palmerston-Little Italy,CS,College/Shaw,2018,21914
064,Woodbine Corridor,DA,Danforth/Coxwell,2018,40326
042,Banbury-Don Mills,DM,Don Mills,2018,61911
155,Downsview,DO,Downsview,2018,72517
098,Rosedale-Moore Park,DP,Deer Park,2018,65983
054,O'Connor-Parkview,DR,Dawes Road,2018,30300
094,Wychwood,DT,Davenport,2018,4008
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2018,42709
158,Islington,EA,Eatonville,2018,41801
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2018,5700
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2018,13481
052,Bayview Village,EN,Ethennonnhawahstihnen',2018,26289
120,Clairlea-Birchmount,ES,Eglinton Square,2018,55733
102,Forest Hill North,FH,Forest Hill,2018,14583
165,Harbourfront-CityPlace,FO,Fort York,2018,37264
044,Flemingdon Park,FP,Flemingdon Park,2018,29894
047,Don Valley Village,FV,Fairview,2018,130320
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2018,16717
130,Milliken,GHP,Goldhawk Park,2018,30554
140,Guildwood,GW,Guildwood,2018,9772
016,Stonegate-Queensway,HB,Humber Bay,2018,6015
134,Highland Creek,HC,Highland Creek,2018,16657
048,Hillcrest Village,HIL,Hillcrest,2018,16987
087,High Park-Swansea,HP,High Park,2018,32396
021,Humber Summit,HS,Humber Summit,2018,10281
001,West Humber-Clairville,HW,Humberwood,2018,10942
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2018,43864
070,South Riverdale,JO,Jones,2018,18622
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2018,23749
125,Ionview,KE,Kennedy/Eglinton,2018,29139
019,Long Branch,LB,Long Branch,2018,14458
056,Leaside-Bennington,LE,Leaside,2018,20752
103,Lawrence Park South,LO,Locke,2018,40048
078,Kensington-Chinatown,LS,Lillian H. Smith,2018,108743
062,East End-Danforth,MA,Main Street,2018,26001
146,Malvern East,MAL,Malvern,2018,83951
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2018,81688
126,Dorset Park,MCG,McGregor Park,2018,30641
115,Mount Dennis,MD,Mount Dennis,2018,36451
160,Mimico-Queensway,MI,Mimico Centennial,2018,15725
099,Mount Pleasant East,MP,Mount Pleasant,2018,6809
119,Wexford-Maryvale,MRV,Maryvale,2018,34992
136,West Hill,MS,Morningside,2018,30116
100,Yonge-Eglinton,ND,Northern District,2018,104897
001,West Humber-Clairville,NE,Northern Elms,2018,13858
018,New Toronto,NT,New Toronto,2018,15193
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2018,21743
069,Blake-Jones,PA,Pape/Danforth,2018,60571
171,Junction-Wallace Emerson,PE,Perth/Dupont,2018,5775
085,South Parkdale,PK,Parkdale,2018,103625
073,Moss Park,PL,Parliament Street,2018,62072
095,Annex,PM,Palmerston,2018,23629
133,Centennial Scarborough,PU,Port Union,2018,10086
046,Pleasant View,PV,Pleasant View,2018,13400
070,South Riverdale,QS,Queen/Saulter,2018,13869
068,North Riverdale,RD,Riverdale,2018,45729
007,Willowridge-Martingrove-Richview,RI,Richview,2018,71177
088,High Park North,RN,Runnymede,2018,68987
004,Rexdale-Kipling,RX,Rexdale,2018,11519
078,Kensington-Chinatown,SA,Sanderson,2018,52512
156,Bendale -Glen Andrew,SC,Scarborough Civic Centre,2018,45256
074,North St. James Town,SJ,St. James Town,2018,51621
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2018,24264
095,Annex,SP,Spadina Road,2018,15469
116,Steeles,ST,Steeles,2018,14624
087,High Park-Swansea,SW,Swansea Memorial,2018,1443
059,Danforth Village - East York,SWS,S. Walter Stewart,2018,64722
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2018,8594
055,Thorncliffe Park,TH,Thorncliffe,2018,50333
058,Old East York,TOD,Todmorden Room,2018,3450
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2018,428446
043,Victoria Village,VV,Victoria Village,2018,9463
113,Weston,WE,Weston,2018,26060
022,Humbermede,WP,Woodview Park,2018,13555
129,Agincourt North,WS,Woodside Square,2018,75752
096,Casa Loma,WY,Wychwood,2018,16140
095,Annex,YO,Yorkville,2018,22390
025,Glenfield-Jane Heights,YW,York Woods,2018,93349
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2019,105936
120,Clairlea-Birchmount,ACD,Albert Campbell,2019,54592
020,Alderwood,AD,Alderwood,2019,10518
118,Tam O'Shanter-Sullivan,AG,Agincourt,2019,110006
039,Bedford Park-Nortown,AH,Armour Heights,2019,9414
090,Junction Area,AN,Annette Street,2019,20898
030,Brookhaven-Amesbury,AP,Amesbury Park,2019,13549
150,Fenside-Parkwoods,BB,Brookbanks,2019,16706
154,Oakdale-Beverley Heights,BC,Black Creek,2019,25777
157,Bendale South,BD,Bendale,2019,13281
063,The Beaches,BE,Beaches,2019,26353
032,Englemount-Lawrence,BF,Barbara Frum,2019,66397
083,Dufferin Grove,BL,Bloor/Gladstone,2019,119884
015,Kingsway South,BR,Brentwood,2019,51475
147,L'Amoreaux West,BRW,Bridlewood,2019,47541
146,Malvern East,BUR,Burrows Hall,2019,17393
123,Cliffcrest,CC,Cliffcrest,2019,14182
035,Westminster-Branson,CE,Centennial,2019,21971
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2019,124808
170,Yonge-Bay Corridor,CH,City Hall,2019,47505
037,Willowdale West,CL,North York Central Library,2019,227153
080,Palmerston-Little Italy,CS,College/Shaw,2019,21432
064,Woodbine Corridor,DA,Danforth/Coxwell,2019,36170
042,Banbury-Don Mills,DM,Don Mills,2019,46052
155,Downsview,DO,Downsview,2019,43740
098,Rosedale-Moore Park,DP,Deer Park,2019,61486
