NBHDName,NBHDNo,POPULATION_2023,ASSAULT_RATE_2015,ASSAULT_RATE_2016,ASSAULT_RATE_2017,ASSAULT_RATE_2018,ASSAULT_RATE_2019,AUTOTHEFT_RATE_2015,AUTOTHEFT_RATE_2016,AUTOTHEFT_RATE_2017,AUTOTHEFT_RATE_2018,AUTOTHEFT_RATE_2019,BIKETHEFT_RATE_2015,BIKETHEFT_RATE_2016,BIKETHEFT_RATE_2017,BIKETHEFT_RATE_2018,BIKETHEFT_RATE_2019,BREAKENTER_RATE_2015,BREAKENTER_RATE_2016,BREAKENTER_RATE_2017,BREAKENTER_RATE_2018,BREAKENTER_RATE_2019,HOMICIDE_RATE_2015,HOMICIDE_RATE_2016,HOMICIDE_RATE_2017,HOMICIDE_RATE_2018,HOMICIDE_RATE_2019,ROBBERY_RATE_2015,ROBBERY_RATE_2016,ROBBERY_RATE_2017,ROBBERY_RATE_2018,ROBBERY_RATE_2019,SHOOTING_RATE_2015,SHOOTING_RATE_2016,SHOOTING_RATE_2017,SHOOTING_RATE_2018,SHOOTING_RATE_2019,THEFTFROMMV_RATE_2015,THEFTFROMMV_RATE_2016,THEFTFROMMV_RATE_2017,THEFTFROMMV_RATE_2018,THEFTFROMMV_RATE_2019,THEFTOVER_RATE_2015,THEFTOVER_RATE_2016,THEFTOVER_RATE_2017,THEFTOVER_RATE_2018,THEFTOVER_RATE_2019
South Eglinton-Davisville,174,21987,332.1354675,377.8269653,429.4542847,431.5816345,345.8668823,21.77937508,16.19258308,41.89797974,76.16146088,39.52764511,103.452034,145.7332611,178.0664063,152.3229218,207.5201416,174.2350006,134.9382019,193.7781525,243.7166748,410.0993042,0.0,5.397527695,0.0,0.0,4.940955639,54.44843674,48.57775116,36.66073227,86.31632233,24.70477867,0.0,5.397527695,0.0,5.077430725,4.940955639,103.452034,70.16786194,89.03320313,96.47118378,118.5829315,16.33453178,21.59011078,5.237247467,15.23229218,14.82286644
North Toronto,173,15077,449.127655,372.0688782,429.0075073,433.5487976,582.0105591,8.637070656,17.30552864,16.50028801,31.53082085,30.23431587,112.2819138,77.87487793,107.2518768,134.0059967,166.2887421,380.0310974,129.7914734,198.0034637,331.0736389,272.1088562,0.0,0.0,0.0,0.0,7.558578968,86.37070465,60.5693512,49.50086594,70.9443512,143.6130066,0.0,0.0,0.0,0.0,0.0,51.82242203,112.485939,107.2518768,55.178936,136.0544281,25.91121101,17.30552864,16.50028801,39.41352844,30.23431587
Dovercourt Village,172,13837,422.159668,587.447937,693.9317627,684.9315186,694.3439941,74.06310272,133.8488922,81.20478058,80.15155792,86.79299927,251.8145447,386.6745911,332.2013855,218.5951691,188.0514984,155.5325165,275.1338501,287.9078674,364.3252563,600.3182373,0.0,0.0,7.38225317,0.0,14.46549988,140.7198944,96.66864777,280.5256042,225.8816681,101.2584991,0.0,14.87209988,0.0,0.0,0.0,251.8145447,364.3664551,310.0546265,597.4934692,484.5942383,22.2189312,37.18024826,22.14675903,29.14602089,21.69824982
Junction-Wallace Emerson,171,26240,658.6399536,684.8467407,638.5748291,627.0218506,716.8458862,71.31769562,49.50699234,69.14504242,115.8193207,90.59041595,172.0015106,206.2791443,252.1760406,259.5950317,275.7099609,192.9773102,169.1488953,207.4351196,363.4330444,405.6875,12.58547592,0.0,4.067355633,0.0,3.938713551,125.8547668,107.265152,109.8185959,71.88785553,118.1614075,8.390317917,4.125582695,20.33677673,11.98130894,7.877427101,109.0741272,198.0279694,296.9169312,611.0467529,492.3392029,20.97579384,24.75349617,24.40413284,27.95638847,15.7548542
Yonge-Bay Corridor,170,14731,4789.324707,4208.070313,4995.443848,4575.786621,5048.573242,182.798645,172.81604,115.9804459,214.4899902,290.6754456,1425.829468,1745.442017,1781.128296,2121.067627,1675.208496,1051.092163,527.0889282,1035.539673,794.4073486,910.2730713,18.27986526,0.0,0.0,7.944073677,15.29870701,475.2764893,639.4193115,729.0199585,699.0784912,481.9092712,27.4197979,0.0,24.85295296,31.77629471,30.59741402,941.4130249,682.6233521,737.3042603,897.6803589,1308.039429,274.1979675,233.301651,289.9511108,349.5392456,481.9092712
Bay-Cloverhill,169,19055,685.0722656,807.8817749,971.9767456,818.2313843,958.671875,27.40289116,39.40886688,44.18076324,90.91460419,75.99228668,596.0128784,650.2462769,624.8422241,581.8534546,409.189209,308.2825317,380.9523926,340.8230286,430.3291016,479.3359375,0.0,0.0,0.0,0.0,5.845560074,102.7608414,124.7947464,119.9192123,175.7682343,210.4401703,0.0,0.0,0.0,6.060973167,0.0,171.2680664,157.6354675,94.67306519,193.9511414,192.9034882,89.05939484,85.38587952,88.36152649,60.60973358,58.45560455
Bendale-Glen Andrew,156,20773,782.4064331,894.435791,849.9744263,916.5533447,1012.155823,195.6016083,218.4087372,128.008194,196.4042969,173.6541748,37.0057106,20.80083275,117.76754,10.07201481,14.88464355,174.4554901,156.0062408,138.2488403,166.1882477,148.8464355,0.0,10.40041637,0.0,0.0,4.961547852,290.7591553,249.6099854,343.0619507,221.5843353,173.6541748,5.286530018,15.60062408,25.60163879,5.036007404,14.88464355,338.3379211,228.8091583,327.7009583,266.9083862,248.0773926,42.29224014,41.6016655,87.04557037,65.46809387,39.69238281
Downsview,155,17003,804.9182129,828.0134277,852.7324829,776.3310547,861.9130859,202.8140411,240.187088,192.954071,189.4981384,415.8881226,25.35175514,56.88641739,24.89729881,61.12842941,48.21891403,209.1519775,176.9799652,161.8324432,256.7394104,223.0124817,0.0,0.0,0.0,6.112843037,12.05472851,158.4484711,69.52783966,93.36486816,207.8366699,120.547287,12.67587757,12.64142609,31.12162399,12.22568607,42.19155121,323.2348938,391.8842163,317.4405518,385.1091003,433.9702148,69.71733093,18.96213913,80.91622162,18.33852959,42.19155121
Oakdale-Beverley Heights,154,21503,1144.153442,1135.80249,1355.039917,1450.876831,1400.759766,345.2187195,251.8518524,258.3349609,369.9255371,441.5954285,39.4535675,34.56790161,4.87424469,33.6295929,37.98670578,212.0629272,118.5185165,155.9758301,211.3860168,379.8670349,0.0,4.938271523,9.74848938,0.0,4.748338223,192.3361511,177.777771,238.8379822,182.5606537,194.6818542,19.72678375,19.75308609,29.24546623,33.6295929,14.24501419,202.1995392,212.3456726,302.2031555,562.0946655,565.0522461,19.72678375,39.50617218,43.86820221,52.84650421,33.23836517
Avondale,153,16149,295.42099,301.3948364,335.8694763,495.3809204,301.8174744,29.54209709,42.05509186,6.854479313,53.55469131,98.41873932,59.08419418,119.1560974,150.7985535,40.16601944,85.29624176,66.46971893,49.06427383,75.39927673,87.02637482,85.29624176,0.0,0.0,0.0,73.63770294,0.0,29.54209709,21.02754593,68.54479218,73.63770294,32.80624771,0.0,0.0,6.854479313,0.0,0.0,51.69866943,98.12854767,61.69031525,60.24903107,144.3474884,7.385524273,42.05509186,34.27239609,33.4716835,26.24499702
East Willowdale,152,18285,213.0592804,328.6210327,284.8312073,271.5947266,300.3870239,119.0625381,198.4127045,84.84334564,82.65926361,173.3002167,56.39804459,93.00595093,36.36143112,5.904233456,23.10669518,363.454071,334.8214417,442.3974304,330.6370544,311.9403992,0.0,0.0,0.0,0.0,0.0,119.0625381,86.80555725,181.8071594,188.9354706,132.8634949,0.0,0.0,0.0,5.904233456,11.55334759,125.3289871,217.0138855,218.1685944,218.4566345,259.9503174,25.06579781,18.60119057,36.36143112,17.71269989,51.99006271
Yonge-Doris,151,23234,328.5364075,359.1490784,385.6099548,384.1000366,357.5211792,23.13636589,18.41790199,45.36587524,84.85931396,128.0014191,69.40909576,82.88056183,40.82928848,58.06163406,52.9661026,37.01818466,55.25370789,45.36587524,31.26395798,97.10452271,0.0,0.0,0.0,0.0,0.0,50.90000534,115.1118851,63.5122261,116.1232681,83.86299133,0.0,0.0,0.0,0.0,0.0,50.90000534,78.2760849,99.80492401,107.190712,331.038147,23.13636589,23.02237701,31.75611305,26.79767799,66.20762634
Fenside-Parkwoods,150,22909,472.8907166,562.9309692,444.0127563,409.9107361,467.7310486,74.91338348,79.74855804,134.1288605,45.54563522,94.44569397,18.72834587,37.5287323,37.0010643,9.109127045,17.98965645,163.8730164,112.5861969,143.3791199,200.4008026,152.9120789,0.0,0.0,0.0,4.554563522,4.497414112,79.59546661,103.2040176,129.5037231,72.87301636,107.9379349,9.364172935,9.382183075,23.12566566,4.554563522,4.497414112,248.1505737,206.4080353,245.1320496,109.3095245,332.8086243,14.04625893,9.382183075,23.12566566,13.66369057,8.994828224
Parkwoods-O'Connor Hills,149,14788,311.8935547,339.1238098,391.3491211,312.6911926,377.8167725,124.7574158,69.2089386,116.7181625,61.17871094,53.97382355,6.930967331,6.920894146,61.79196548,27.19053841,13.49345589,180.2051544,152.2596741,240.3020935,231.1195679,229.3887482,0.0,0.0,0.0,0.0,0.0,6.930967331,76.12983704,123.583931,33.98817062,67.46727753,0.0,6.920894146,13.73154831,0.0,0.0,298.0316162,304.5193481,343.2886963,217.5243073,195.6551056,20.79290199,6.920894146,34.32886887,27.19053841,20.24018288
East L'Amoreaux,148,23988,399.928894,371.6473389,379.5736389,325.3090515,393.9367981,35.5492363,58.20982361,48.55011749,56.38690186,55.66498184,8.887309074,8.955357552,8.82729435,17.34981537,8.563843727,222.182724,89.55357361,145.6503448,151.8108826,171.2768707,0.0,4.477678776,0.0,0.0,0.0,71.0984726,76.1205368,66.20470428,91.08653259,192.6864777,4.443654537,8.955357552,4.413647175,4.337453842,12.84576511,142.1969452,125.3750076,114.7548218,147.4734344,111.3299637,31.10558128,8.955357552,13.24094105,26.02472305,8.563843727
L'Amoreaux West,147,24374,324.2715149,414.9562683,439.270813,379.5230103,454.6033936,53.30490494,66.92842865,61.49791336,81.94246674,110.4643784,4.442075253,22.30947685,30.74895668,30.18933105,25.49177933,151.0305634,133.8568573,175.7083282,176.8232269,195.4369659,0.0,4.461895466,4.392708302,0.0,0.0,97.7256546,98.16169739,118.6031189,94.88075256,84.97259521,13.32622623,22.30947685,48.31978989,25.87656784,25.49177933,155.472641,107.0854874,140.5666656,138.0083618,135.9561615,8.884150505,8.923790932,13.17812443,12.93828392,0.0
Malvern East,146,28098,717.5254517,649.2288208,668.0274658,647.4030762,784.8952637,48.33073044,67.54981995,100.2041168,128.0175629,144.6811523,14.87099457,18.76383781,11.13379097,7.315289021,7.234057903,81.79046631,153.8634796,85.35906219,120.7022705,54.25543594,0.0,15.01107025,7.422527313,3.65764451,0.0,104.096962,116.3358002,126.1829681,117.0446243,83.19166565,14.87099457,33.77490997,22.26758194,25.60351181,18.08514404,74.35497284,101.3247299,192.9857178,95.09875488,130.2130432,3.717748642,7.505535126,11.13379097,18.28822327,10.85108662
Malvern West,145,19412,485.0967407,579.8829346,595.3338623,534.1089478,622.2872925,97.01934814,97.55039978,160.9010468,142.781601,198.7135925,16.16989136,16.25839996,21.45347214,10.57641506,26.14652443,113.1892395,130.0671997,64.36042023,163.934433,151.6498413,0.0,0.0,0.0,10.57641506,5.22930479,107.7992783,173.4229279,166.2644196,111.0523529,130.7326202,16.16989136,5.419466496,10.72673607,21.15283012,41.83443832,172.4788513,205.939743,219.8981018,222.1047058,235.3187256,16.16989136,32.51679993,21.45347214,58.17028046,31.3758297
Morningside Heights,144,28167,457.9863892,340.2518005,392.3766785,404.4266357,410.9090881,90.840271,60.48920822,93.42301941,172.8004761,207.2727203,11.35503387,3.780575514,3.736920834,7.353211403,3.636363745,151.4004517,158.7841644,112.1076202,165.4472656,130.9090881,0.0,0.0,14.94768333,0.0,0.0,102.1953049,98.29496002,89.68609619,66.17890167,43.63636398,18.92505646,18.90287781,29.89536667,7.353211403,10.909091,155.1854706,151.2230225,250.3736877,191.1835022,170.9090881,22.71006775,41.58633041,26.15844536,40.4426651,32.72727203
West Rouge,143,22396,285.6598816,290.3379211,422.773407,397.6143188,342.2625732,138.0689392,33.31746674,37.57985687,64.7279129,146.0320282,19.04399109,57.11565781,32.88237381,92.46844482,36.50800705,157.1129303,161.8276978,192.5967712,166.4432068,104.9605255,0.0,0.0,0.0,0.0,0.0,42.84897995,42.83674622,93.949646,64.7279129,104.9605255,4.760997772,4.759638309,0.0,4.623422146,13.69050312,142.8299408,195.1451721,305.3363342,258.9116516,182.5400391,9.521995544,14.27891445,23.4874115,23.11711121,18.25400352
Woburn North,142,29500,610.8955078,622.1455078,631.8554688,619.4225464,726.5430298,57.49604797,79.11676788,78.09449768,83.98950195,138.3891449,10.780509,7.192433357,28.39799881,17.49781227,13.83891487,316.2282715,151.0411072,134.8904877,213.4733124,207.583725,0.0,0.0,0.0,0.0,0.0,136.5531158,118.6751556,184.5869904,125.9842529,65.73484802,10.780509,7.192433357,14.1989994,13.99825001,6.919457436,212.0166779,197.7919159,237.8332367,283.4645691,342.5131531,28.74802399,32.36595154,46.14674759,34.99562454,13.83891487
Golfdale-Cedarbrae-Woburn,141,28651,842.7696533,725.3924561,836.758667,722.2041626,806.0202026,70.54019165,37.19961166,95.41984558,126.3857269,74.89568329,14.85056591,55.7994194,36.69993973,10.83306217,7.132922173,215.3332062,141.3585358,176.1597137,137.2187958,142.6584473,11.13792419,3.719961405,0.0,0.0,0.0,196.7700043,141.3585358,271.5795593,148.0518494,167.6236725,11.13792419,7.43992281,11.00998211,28.88816643,39.23107147,207.9079285,182.2781067,176.1597137,245.5494232,221.120575,18.56320763,18.59980583,36.69993973,14.44408321,14.26584435
Guildwood,140,10332,394.5770874,444.8488464,440.0,463.9684143,293.1118774,0.0,40.44080353,50.0,19.74333572,29.31118774,20.23472214,60.66120529,20.0,9.871667862,19.54079056,202.347229,181.9836273,100.0,157.9466858,97.7039566,0.0,0.0,0.0,0.0,9.770395279,60.70417023,80.88160706,100.0,49.35834122,68.39276886,0.0,0.0,0.0,19.74333572,0.0,596.9243164,313.4162292,400.0,276.4067078,273.5710754,20.23472214,10.11020088,40.0,9.871667862,9.770395279
Scarborough Village,139,17713,897.3905029,1127.841797,870.4796143,1033.069824,994.9110718,88.55827332,53.14437485,122.685051,115.4267883,114.3575974,11.80776978,11.80986118,40.89501572,0.0,11.43575954,283.3864746,200.7676392,186.9486542,259.7102661,228.7151947,0.0,35.4295845,5.842145443,0.0,0.0,200.7320862,147.6232605,140.2114868,63.48473358,160.1006317,11.80776978,17.71479225,29.21072578,11.54267883,34.30727768,141.6932373,206.6725769,274.5808411,305.8809814,320.2012634,11.80776978,11.80986118,23.36858177,23.08535767,11.43575954
Eglinton East,138,24231,775.0925293,894.7276611,880.0690308,786.3640137,828.392395,91.44350433,96.01955414,125.1078491,46.75677872,113.5360184,13.06335735,8.729050636,21.57032013,4.25061655,21.02518845,330.938385,283.6941223,241.5875702,191.2777405,243.8921814,0.0,0.0,4.314064026,4.25061655,8.410075188,200.3048096,187.6745758,159.6203613,148.7715759,121.9460907,8.70890522,13.09357548,47.45470047,8.501233101,25.23022652,209.0137177,183.3100586,228.6453857,284.7912903,264.9173584,13.06335735,26.18715096,4.314064026,25.50369835,33.64030075
West Hill,136,29259,1429.346802,1520.611084,1429.488037,1482.574463,1525.629883,65.13479614,54.05015945,110.5090561,94.85665894,159.8609924,57.89759445,90.08359528,46.34250641,24.59246826,41.7028656,238.8275757,259.4407654,310.1383057,361.8605957,267.5933838,7.237199306,0.0,0.0,3.513209581,6.950478077,231.5903778,277.457489,231.7125397,175.6604767,250.2172089,3.618599653,21.62006378,10.69442463,17.56604767,31.27715111,242.446167,230.6140137,392.1289063,270.5171509,198.088623,21.71159744,28.82675171,35.64808273,17.56604767,13.90095615
Morningside,135,18463,783.6725464,921.7893066,890.3074341,746.062439,968.5362549,95.844841,79.17208862,67.19300842,66.31666565,43.77565002,16.91379547,16.96544647,0.0,5.526388645,5.471956253,112.7586365,107.4478302,89.59068298,105.0013809,93.02325439,5.637931824,0.0,0.0,5.526388645,5.471956253,129.6724396,56.55149078,106.3889389,71.8430481,98.49520874,0.0,5.655148983,5.599417686,5.526388645,16.41586876,191.689682,113.1029816,201.5790405,187.8972168,186.0465088,5.637931824,0.0,11.19883537,11.05277729,21.88782501
Highland Creek,134,13871,392.9727173,553.3042603,522.6748657,376.7897644,468.3666687,84.75881958,62.3441391,107.6095276,150.7158966,200.7285767,84.75881958,116.8952637,15.37279034,0.0,22.30317497,277.3925171,272.7556152,222.9054565,226.0738525,245.3349152,7.705347538,0.0,0.0,0.0,7.434391499,238.8657684,85.72319031,130.6687164,37.67897415,104.0814819,15.41069508,0.0,7.686395168,15.07159042,0.0,208.0443878,249.3765564,399.6925354,158.2516937,327.1132202,38.52673721,7.793017387,7.686395168,22.60738564,7.434391499
Centennial Scarborough,133,14609,277.8387146,350.1604919,331.1496582,311.0419922,342.2982788,51.18081284,36.47505188,64.7901535,70.69136047,153.6849518,14.62308979,43.77006149,28.79562378,42.41481781,20.95703888,109.673172,131.3101807,165.5748291,113.1061783,202.5847015,0.0,0.0,7.198905945,7.069136143,0.0,21.93463516,80.24510956,86.38687134,42.41481781,6.98567915,0.0,14.59002018,0.0,14.13827229,0.0,95.05008698,342.8654785,316.7518616,205.0049438,230.52742,7.311544895,7.29501009,28.79562378,14.13827229,20.95703888
Milliken,130,28371,318.2003174,327.6491089,283.3903809,264.7613525,344.0366821,159.1001587,130.3149872,220.8236694,330.0449829,304.6158142,7.400007248,0.0,11.04118347,14.50747108,10.75114632,432.9004211,249.4601288,415.8845825,435.2241516,473.0504456,0.0,0.0,0.0,0.0,3.583715677,136.9001312,148.9314117,106.7314453,61.65675354,125.4300461,7.400007248,3.723285437,0.0,7.253735542,3.583715677,240.5002441,160.1012726,276.0296021,275.6419678,304.6158142,51.80005264,33.50956726,69.92749786,65.28362274,78.84174347
Agincourt North,129,31260,257.2755432,276.6251831,250.2168579,262.7861938,263.0211792,96.89598846,60.72259903,110.0954132,137.9627533,136.3813477,23.38868713,6.746955395,0.0,3.284827471,3.247174978,180.4270172,165.300415,163.4750061,226.6530914,181.8417969,0.0,0.0,0.0,0.0,0.0,123.6259155,50.60216522,73.39694214,144.5324097,120.1454697,0.0,3.373477697,3.336224794,0.0,6.494349957,157.0383301,161.9269257,320.2775879,226.6530914,224.055069,20.0474453,16.86738777,36.69847107,13.13930988,9.741524696
Agincourt South-Malvern West,128,28097,430.8361511,536.835144,446.769989,461.5324402,462.1142578,121.3033829,111.4965286,140.8734131,148.6290894,221.5093231,20.91437721,12.38850307,28.17468262,23.46775055,11.45737839,250.9725189,251.8995667,370.2958374,363.7501526,381.9126282,0.0,0.0,0.0,3.911291838,0.0,100.3890076,86.71952057,136.848465,129.0726318,106.9355316,0.0,8.259002686,16.09981918,19.55645943,11.45737839,296.9841614,256.0290833,338.0961914,281.6130066,221.5093231,37.64587784,49.5540123,56.34936523,39.11291885,57.28689194
Dorset Park,126,26286,667.2793579,780.3479614,767.8676758,781.432251,635.2995605,167.8187561,175.1801605,161.4490967,318.7932434,234.8683167,15.98273849,11.94410133,15.75113201,7.775444984,3.850300312,335.6375122,282.677063,346.5249023,256.5896912,219.4671173,0.0,0.0,3.937783003,0.0,7.700600624,147.840332,230.9192963,137.822403,136.0702972,146.3114166,15.98273849,39.81367111,27.56448174,31.10177994,26.95210266,403.5641479,266.7516174,232.3291931,244.9265289,300.3234253,39.95684814,47.77640533,15.75113201,58.31583786,30.8024025
Ionview,125,14121,737.6110229,740.1608276,601.5569458,624.9561157,558.8543701,85.93526459,42.70158768,35.38570404,21.06593704,55.8854332,21.48381615,0.0,14.15428162,21.06593704,27.9427166,322.2572327,120.9878311,205.2370911,133.4176025,132.7279053,0.0,0.0,0.0,0.0,0.0,107.419075,64.05238342,92.00283051,49.15385056,83.82815552,0.0,0.0,0.0,7.021978855,6.98567915,207.6768799,106.7539673,155.6970978,147.4615479,209.5703735,28.6450882,28.46772385,7.077140808,7.021978855,13.9713583
Kennedy Park,124,18173,1429.706177,1215.218628,1109.734131,1231.678101,1227.604492,68.08124542,73.82169342,168.9950409,167.1961212,132.7140045,34.04062271,28.39295769,56.3316803,66.87844849,16.58925056,204.2437286,261.21521,281.6584167,267.5137939,226.7197571,0.0,0.0,0.0,11.14640808,5.52974987,380.1202698,164.6791534,304.1910706,172.7693176,160.3627472,0.0,11.35718346,16.89950371,16.71961212,11.05949974,283.6718445,193.072113,416.8544312,328.8190308,387.082489,17.02031136,28.39295769,22.53267288,111.4640808,33.17850113
Cliffcrest,123,17922,610.5834351,677.7990112,720.4698486,818.0201416,793.0029297,80.17762756,67.7798996,108.9786301,136.3366852,110.7871704,12.33501911,43.13266373,54.48931503,5.9276824,23.32361603,357.7155457,363.5467224,217.9572601,314.1671753,268.2215881,6.167509556,0.0,0.0,5.9276824,5.830904007,135.6852112,154.0452271,205.848526,88.91523743,169.0962067,12.33501911,0.0,0.0,11.8553648,5.830904007,345.3805237,388.1939697,429.8601379,385.2993469,623.9066772,30.8375473,18.48542786,42.38057709,17.78304672,17.49271202
Birchcliffe-Cliffside,122,23417,597.1623535,887.414856,714.6661987,871.2021484,904.7619019,76.32902527,67.22839355,57.70596695,105.0696106,112.5541153,80.8189621,98.60164642,75.46164703,35.02320099,21.64502144,363.6853333,340.6238708,368.4303894,306.4530334,246.7532501,4.489942551,0.0,4.438920498,4.377900124,0.0,116.7385025,112.0473251,66.5838089,96.31380463,138.5281372,0.0,0.0,0.0,0.0,8.658008575,484.9137878,416.8160706,257.4573975,429.0342407,402.5974121,22.44971275,26.89135933,22.19460297,35.02320099,30.30303001
Downtown Yonge East,168,18023,3026.846191,2722.696777,3436.053223,3452.536133,4050.698975,144.4976807,129.6522217,101.2731476,329.4666748,280.9355774,981.0631714,892.3123779,1164.641235,1290.411133,1123.74231,623.621582,648.2611084,810.1851807,844.2583618,1182.542847,15.21028233,7.626601696,0.0,13.72777843,0.0,768.1192627,762.6601563,882.5231323,981.5361328,751.3393555,30.42056465,22.87980461,0.0,13.72777843,32.66692734,1201.612305,1090.604004,1642.071777,1249.227783,1659.47998,83.65655518,228.7980499,144.6759186,137.2777863,130.6677094
