BranchCode,reg_2012,reg_2013,reg_2014,reg_2015,reg_2016,reg_2017,reg_2018,reg_2019,reg_2020,reg_2021,reg_2022,NBHDNo,NBHDName
AB,4939.0,4483.0,3810.0,4272.0,4474.0,6889.0,7788.0,7314.0,2072.0,1953.0,5093.0,002,Mount Olive-Silverstone-Jamestown
ACD,1695.0,1770.0,1782.0,1448.0,1592.0,1625.0,1789.0,1352.0,25.0,154.0,1577.0,120,Clairlea-Birchmount
AD,445.0,504.0,543.0,519.0,526.0,545.0,733.0,712.0,164.0,363.0,711.0,020,Alderwood
AG,3166.0,3586.0,3171.0,2919.0,2318.0,2538.0,3658.0,3404.0,1064.0,1194.0,2959.0,118,Tam O'Shanter-Sullivan
AH,467.0,501.0,608.0,545.0,567.0,645.0,859.0,842.0,194.0,233.0,398.0,039,Bedford Park-Nortown
AN,918.0,814.0,878.0,915.0,1058.0,1234.0,1349.0,1274.0,450.0,462.0,905.0,090,Junction Area
AP,901.0,911.0,1020.0,709.0,796.0,485.0,1045.0,1000.0,408.0,328.0,1019.0,030,Brookhaven-Amesbury
BB,720.0,807.0,705.0,753.0,770.0,792.0,1233.0,1597.0,385.0,393.0,933.0,150,Fenside-Parkwoods
BC,1167.0,1063.0,1206.0,1109.0,1082.0,1210.0,1688.0,2389.0,494.0,284.0,994.0,154,Oakdale-Beverley Heights
BD,820.0,823.0,838.0,707.0,686.0,709.0,1055.0,909.0,341.0,450.0,942.0,157,Bendale South
BE,1525.0,1481.0,1523.0,1546.0,1634.0,1533.0,1810.0,1887.0,813.0,873.0,1587.0,063,The Beaches
BF,2303.0,1848.0,2053.0,2119.0,2022.0,2256.0,2884.0,3112.0,862.0,939.0,2125.0,032,Englemount-Lawrence
BL,2798.0,2698.0,3109.0,3111.0,3076.0,3267.0,3787.0,4130.0,1344.0,1356.0,2694.0,083,Dufferin Grove
BR,766.0,2280.0,2032.0,1725.0,1950.0,2237.0,2483.0,2858.0,917.0,1031.0,2116.0,015,Kingsway South
BRW,2015.0,2099.0,2016.0,1729.0,1965.0,2045.0,2908.0,2625.0,673.0,1199.0,2632.0,147,L'Amoreaux West
BUR,955.0,967.0,825.0,766.0,802.0,735.0,1056.0,1130.0,203.0,217.0,835.0,146,Malvern East
CC,837.0,789.0,765.0,659.0,789.0,725.0,963.0,1074.0,504.0,494.0,1154.0,123,Cliffcrest
CE,1631.0,1836.0,1604.0,1756.0,1614.0,2092.0,2296.0,2120.0,758.0,819.0,1848.0,035,Westminster-Branson
CED,4750.0,4395.0,3958.0,3824.0,3861.0,3831.0,4913.0,4849.0,1594.0,1518.0,3543.0,141,Golfdale-Cedarbrae-Woburn
CH,1685.0,1992.0,2142.0,1934.0,2655.0,2504.0,3182.0,3798.0,1268.0,28.0,1938.0,170,Yonge-Bay Corridor
CL,10291.0,11924.0,12262.0,13064.0,12204.0,4960.0,12469.0,14523.0,3481.0,3894.0,9855.0,037,Willowdale West
CS,1035.0,950.0,1082.0,949.0,1037.0,1115.0,1203.0,1462.0,544.0,625.0,1044.0,080,Palmerston-Little Italy
DA,1016.0,1110.0,1109.0,1080.0,1078.0,1174.0,1314.0,1555.0,560.0,589.0,1296.0,064,Woodbine Corridor
DM,1873.0,1898.0,1897.0,2152.0,2062.0,1909.0,2310.0,2137.0,805.0,940.0,1982.0,042,Banbury-Don Mills
DO,1636.0,1920.0,1861.0,1669.0,1549.0,1927.0,2468.0,1796.0,691.0,801.0,1978.0,155,Downsview
DP,1817.0,1844.0,1824.0,1790.0,1798.0,1850.0,2462.0,2334.0,782.0,1186.0,1792.0,098,Rosedale-Moore Park
DR,1184.0,1326.0,1213.0,1305.0,1269.0,1334.0,1381.0,1282.0,501.0,550.0,1149.0,054,O'Connor-Parkview
DT,275.0,240.0,312.0,242.0,280.0,316.0,452.0,560.0,122.0,51.0,367.0,094,Wychwood
DU,954.0,954.0,889.0,814.0,834.0,808.0,1420.0,1442.0,496.0,501.0,1010.0,092,Corso Italia-Davenport
EA,2423.0,2285.0,2752.0,2693.0,2849.0,2754.0,3085.0,3621.0,1151.0,1166.0,2771.0,158,Islington
EB,322.0,354.0,410.0,398.0,411.0,410.0,476.0,512.0,143.0,209.0,514.0,011,Eringate-Centennial-West Deane
EG,524.0,490.0,646.0,524.0,548.0,573.0,605.0,731.0,164.0,249.0,584.0,110,Keelesdale-Eglinton West
EN,1820.0,2343.0,2096.0,1854.0,1924.0,2628.0,2812.0,2582.0,700.0,1224.0,2031.0,052,Bayview Village
ES,1392.0,1491.0,1523.0,1398.0,719.0,1366.0,2646.0,2799.0,603.0,896.0,1928.0,120,Clairlea-Birchmount
FH,922.0,890.0,972.0,1004.0,866.0,951.0,1093.0,1091.0,442.0,500.0,889.0,102,Forest Hill North
FO,0.0,0.0,3651.0,3732.0,3485.0,3661.0,4097.0,4769.0,1874.0,2709.0,4509.0,165,Harbourfront-CityPlace
FP,1382.0,1399.0,1002.0,1058.0,1065.0,991.0,1132.0,1204.0,287.0,536.0,1221.0,044,Flemingdon Park
FV,4064.0,26.0,5568.0,5792.0,5805.0,6056.0,8251.0,7751.0,2168.0,2589.0,5675.0,047,Don Valley Village
GE,528.0,539.0,579.0,511.0,634.0,735.0,774.0,832.0,242.0,311.0,509.0,065,Greenwood-Coxwell
GHP,801.0,818.0,862.0,777.0,818.0,856.0,942.0,851.0,299.0,404.0,819.0,130,Milliken
GW,380.0,336.0,403.0,389.0,357.0,348.0,477.0,342.0,227.0,239.0,430.0,140,Guildwood
HB,617.0,634.0,614.0,552.0,691.0,655.0,783.0,926.0,172.0,210.0,651.0,016,Stonegate-Queensway
HC,762.0,785.0,796.0,702.0,645.0,757.0,1016.0,1116.0,388.0,496.0,811.0,134,Highland Creek
HIL,915.0,1350.0,912.0,763.0,777.0,938.0,1057.0,980.0,330.0,499.0,771.0,048,Hillcrest Village
HP,953.0,1158.0,1224.0,1200.0,1275.0,1285.0,1525.0,1874.0,625.0,629.0,1167.0,087,High Park-Swansea
HS,604.0,743.0,493.0,457.0,449.0,289.0,790.0,685.0,192.0,204.0,481.0,021,Humber Summit
HW,485.0,482.0,468.0,510.0,611.0,565.0,680.0,669.0,116.0,254.0,574.0,001,West Humber-Clairville
JD,1752.0,2561.0,1488.0,1202.0,1211.0,1359.0,1672.0,1755.0,572.0,540.0,1404.0,089,Runnymede-Bloor West Village
JO,535.0,633.0,680.0,659.0,793.0,674.0,907.0,896.0,339.0,372.0,748.0,070,South Riverdale
JS,1034.0,1330.0,1099.0,1065.0,1042.0,1121.0,1270.0,1781.0,617.0,564.0,1398.0,025,Glenfield-Jane Heights
KE,1430.0,1539.0,1323.0,1391.0,1337.0,1547.0,1492.0,1568.0,507.0,726.0,1859.0,125,Ionview
LB,652.0,660.0,783.0,663.0,763.0,579.0,908.0,899.0,354.0,387.0,736.0,019,Long Branch
LE,1065.0,1103.0,1147.0,1135.0,1185.0,1274.0,1511.0,1530.0,625.0,851.0,1432.0,056,Leaside-Bennington
LO,1597.0,1547.0,1577.0,1526.0,1503.0,1849.0,2111.0,2157.0,891.0,842.0,1204.0,103,Lawrence Park South
LS,3194.0,3254.0,3243.0,3219.0,3222.0,3198.0,3555.0,3362.0,1285.0,1927.0,3242.0,078,Kensington-Chinatown
MA,866.0,836.0,852.0,894.0,960.0,999.0,1195.0,1202.0,462.0,521.0,1040.0,062,East End-Danforth
MAL,2534.0,2661.0,2728.0,2219.0,2404.0,2516.0,3394.0,3332.0,1042.0,1097.0,2799.0,146,Malvern East
MAS,1806.0,1791.0,1794.0,1790.0,1818.0,1599.0,1873.0,1819.0,670.0,727.0,1424.0,107,Oakwood-Vaughan
MCG,1321.0,1346.0,1351.0,1287.0,1259.0,1368.0,1542.0,1680.0,538.0,608.0,1434.0,126,Dorset Park
MD,3.0,995.0,798.0,728.0,804.0,821.0,912.0,1027.0,358.0,323.0,866.0,115,Mount Dennis
MI,834.0,816.0,834.0,846.0,898.0,954.0,1056.0,1129.0,483.0,527.0,935.0,160,Mimico-Queensway
MP,510.0,591.0,556.0,546.0,656.0,589.0,837.0,776.0,147.0,4.0,7.0,099,Mount Pleasant East
MRV,994.0,1102.0,1149.0,1181.0,1266.0,1158.0,1538.0,1505.0,331.0,449.0,1340.0,119,Wexford-Maryvale
MS,1146.0,1038.0,1152.0,1005.0,1168.0,1059.0,1573.0,1528.0,633.0,663.0,1557.0,136,West Hill
ND,2755.0,2665.0,2553.0,2466.0,3050.0,3384.0,4164.0,4118.0,1539.0,1765.0,3819.0,100,Yonge-Eglinton
NE,446.0,414.0,383.0,354.0,386.0,457.0,512.0,555.0,210.0,175.0,380.0,001,West Humber-Clairville
NT,583.0,568.0,527.0,517.0,624.0,597.0,633.0,788.0,254.0,260.0,698.0,018,New Toronto
OV,600.0,604.0,606.0,509.0,571.0,613.0,734.0,939.0,341.0,431.0,691.0,107,Oakwood-Vaughan
PA,1397.0,1538.0,1674.0,1449.0,1723.0,1645.0,2249.0,2105.0,824.0,746.0,1515.0,069,Blake-Jones
PE,185.0,234.0,282.0,245.0,290.0,376.0,574.0,548.0,113.0,136.0,442.0,171,Junction-Wallace Emerson
PK,1994.0,1883.0,2014.0,1960.0,1909.0,2129.0,2802.0,2068.0,1201.0,1225.0,2718.0,085,South Parkdale
PL,1649.0,1632.0,1561.0,1564.0,1540.0,1680.0,2071.0,1102.0,965.0,1001.0,1873.0,073,Moss Park
PM,754.0,765.0,816.0,813.0,833.0,816.0,1020.0,1176.0,604.0,556.0,879.0,095,Annex
PU,819.0,850.0,842.0,843.0,737.0,849.0,1144.0,1076.0,195.0,245.0,838.0,133,Centennial Scarborough
PV,713.0,1192.0,701.0,482.0,561.0,569.0,666.0,681.0,248.0,245.0,582.0,046,Pleasant View
QS,417.0,424.0,473.0,437.0,498.0,566.0,612.0,722.0,168.0,190.0,620.0,070,South Riverdale
RD,986.0,1014.0,962.0,881.0,976.0,914.0,1322.0,1466.0,517.0,584.0,976.0,068,North Riverdale
RI,3082.0,2608.0,2549.0,2841.0,2872.0,2833.0,3638.0,3800.0,1230.0,1232.0,3175.0,007,Willowridge-Martingrove-Richview
RN,1782.0,1727.0,1823.0,1833.0,1867.0,1296.0,2512.0,2536.0,886.0,995.0,2074.0,088,High Park North
RX,421.0,422.0,406.0,400.0,462.0,427.0,466.0,514.0,108.0,173.0,365.0,004,Rexdale-Kipling
SA,1419.0,1492.0,1254.0,1073.0,1169.0,1247.0,2048.0,2158.0,628.0,663.0,1257.0,078,Kensington-Chinatown
SC,0.0,0.0,0.0,2242.0,2173.0,2449.0,2686.0,2836.0,995.0,1214.0,2536.0,156,Bendale -Glen Andrew
SI,306.0,290.0,319.0,284.0,306.0,287.0,6.0,254.0,186.0,254.0,450.0,091,Weston-Pellam Park
SJ,1828.0,1695.0,1594.0,1427.0,1588.0,1659.0,2137.0,2297.0,378.0,350.0,1864.0,074,North St. James Town
SL,915.0,1141.0,1275.0,1278.0,1415.0,1769.0,2140.0,2550.0,980.0,1068.0,1880.0,166,St Lawrence-East Bayfront-The Islands
SP,754.0,691.0,638.0,737.0,720.0,743.0,925.0,1083.0,187.0,267.0,747.0,095,Annex
ST,902.0,1058.0,826.0,1052.0,1004.0,897.0,898.0,1570.0,315.0,418.0,1097.0,116,Steeles
SW,88.0,67.0,81.0,85.0,92.0,203.0,124.0,133.0,16.0,1.0,157.0,087,High Park-Swansea
SWS,1360.0,1293.0,1415.0,1239.0,1269.0,1339.0,1760.0,1955.0,561.0,648.0,1488.0,059,Danforth Village - East York
TA,443.0,317.0,453.0,421.0,401.0,343.0,497.0,545.0,212.0,245.0,408.0,122,Birchcliffe-Cliffside
TH,1555.0,2090.0,1612.0,1507.0,1627.0,1599.0,1753.0,1948.0,525.0,580.0,1589.0,055,Thorncliffe Park
TOD,157.0,192.0,197.0,170.0,190.0,209.0,204.0,244.0,45.0,50.0,183.0,058,Old East York
TRL,8682.0,9618.0,11308.0,11617.0,13403.0,13511.0,14975.0,14461.0,4261.0,3815.0,9448.0,098,Rosedale-Moore Park
VV,427.0,429.0,394.0,465.0,541.0,471.0,630.0,544.0,207.0,226.0,444.0,043,Victoria Village
WE,1092.0,873.0,809.0,979.0,1027.0,1067.0,1279.0,1518.0,445.0,488.0,1080.0,113,Weston
WP,515.0,647.0,495.0,426.0,480.0,506.0,573.0,784.0,252.0,190.0,413.0,022,Humbermede
WS,2013.0,2229.0,2149.0,2005.0,2000.0,2046.0,2387.0,2341.0,503.0,754.0,1788.0,129,Agincourt North
WY,845.0,1000.0,943.0,1032.0,1164.0,1101.0,579.0,17.0,4.0,18.0,1035.0,096,Casa Loma
YO,1042.0,1052.0,1011.0,1012.0,1003.0,1215.0,1296.0,1349.0,278.0,464.0,1081.0,095,Annex
YW,3008.0,2280.0,2874.0,2452.0,2379.0,2952.0,3361.0,2773.0,396.0,415.0,1116.0,025,Glenfield-Jane Heights
