BranchCode,wrkstn_use_2012,wrkstn_use_2013,wrkstn_use_2014,wrkstn_use_2015,wrkstn_use_2016,wrkstn_use_2017,wrkstn_use_2018,wrkstn_use_2019,wrkstn_use_2020,wrkstn_use_2021,wrkstn_use_2022,NBHDNo,NBHDName
AB,132024.0,139402.0,142159.0,142187.0,140606.0,137999.0,111939.0,105936.0,26076.0,14154.0,44967.0,002,Mount Olive-Silverstone-Jamestown
ACD,131353.0,133591.0,149898.0,145984.0,149712.0,150308.0,82784.0,54592.0,0.0,0.0,14030.0,120,Clairlea-Birchmount
AD,16279.0,16238.0,16500.0,16700.0,16338.0,15213.0,12162.0,10518.0,1892.0,504.0,2587.0,020,Alderwood
AG,140407.0,180672.0,166023.0,158536.0,103406.0,134675.0,112149.0,110006.0,25441.0,10508.0,35212.0,118,Tam O'Shanter-Sullivan
AH,11895.0,11250.0,11800.0,11013.0,10988.0,11225.0,9753.0,9414.0,1811.0,1044.0,1852.0,039,Bedford Park-Nortown
AN,36663.0,30396.0,28629.0,34038.0,29238.0,37370.0,21239.0,20898.0,5746.0,3349.0,6485.0,090,Junction Area
AP,18961.0,17788.0,18550.0,16300.0,16563.0,7439.0,13010.0,13549.0,4251.0,1588.0,5981.0,030,Brookhaven-Amesbury
BB,19784.0,22950.0,26263.0,19700.0,19713.0,16113.0,16333.0,16706.0,4129.0,1970.0,6340.0,150,Fenside-Parkwoods
BC,25755.0,21560.0,24600.0,24413.0,21763.0,19913.0,24989.0,25777.0,5912.0,2747.0,9480.0,154,Oakdale-Beverley Heights
BD,19911.0,22293.0,20538.0,21100.0,18088.0,18675.0,14323.0,13281.0,3706.0,1597.0,5019.0,157,Bendale South
BE,45165.0,46488.0,41963.0,48525.0,45825.0,40875.0,31292.0,26353.0,7102.0,3402.0,9254.0,063,The Beaches
BF,101666.0,112745.0,120551.0,131127.0,121863.0,132868.0,76409.0,66397.0,18233.0,8645.0,21799.0,032,Englemount-Lawrence
BL,177112.0,171160.0,174629.0,179859.0,168193.0,171813.0,128177.0,119884.0,31570.0,15125.0,48813.0,083,Dufferin Grove
BR,8276.0,84403.0,83069.0,84937.0,84596.0,86113.0,57702.0,51475.0,14194.0,6654.0,20232.0,015,Kingsway South
BRW,41350.0,43375.0,42088.0,41463.0,40138.0,43341.0,51202.0,47541.0,10115.0,4211.0,17132.0,147,L'Amoreaux West
BUR,25885.0,27563.0,28275.0,28463.0,24950.0,20938.0,16232.0,17393.0,2989.0,711.0,4884.0,146,Malvern East
CC,18786.0,17750.0,18738.0,18638.0,19413.0,16188.0,14475.0,14182.0,2888.0,1223.0,6156.0,123,Cliffcrest
CE,28740.0,29350.0,26025.0,27188.0,28213.0,35950.0,26974.0,21971.0,4810.0,2658.0,9196.0,035,Westminster-Branson
CED,240834.0,260191.0,258188.0,243984.0,249984.0,197151.0,133544.0,124808.0,35952.0,15494.0,43222.0,141,Golfdale-Cedarbrae-Woburn
CH,30061.0,31225.0,29988.0,29788.0,30938.0,33700.0,50205.0,47505.0,8603.0,0.0,11020.0,170,Yonge-Bay Corridor
CL,484789.0,545403.0,496202.0,477283.0,433079.0,0.0,121507.0,227153.0,62120.0,29480.0,87439.0,037,Willowdale West
CS,22640.0,21563.0,21663.0,21188.0,21813.0,20363.0,21914.0,21432.0,4090.0,1019.0,6025.0,080,Palmerston-Little Italy
DA,35962.0,39138.0,38850.0,37125.0,37150.0,36600.0,40326.0,36170.0,9723.0,4674.0,15464.0,064,Woodbine Corridor
DM,75424.0,81804.0,85624.0,86525.0,88066.0,90243.0,61911.0,46052.0,13816.0,5654.0,17395.0,042,Banbury-Don Mills
DO,103227.0,120176.0,118894.0,109770.0,113701.0,99707.0,72517.0,43740.0,11773.0,9331.0,31542.0,155,Downsview
DP,40648.0,52063.0,54988.0,60138.0,59513.0,54350.0,65983.0,61486.0,15121.0,6770.0,22943.0,098,Rosedale-Moore Park
DR,48770.0,49088.0,49650.0,43475.0,46688.0,45450.0,30300.0,29528.0,7374.0,3048.0,8493.0,054,O'Connor-Parkview
DT,6192.0,7000.0,7150.0,6688.0,6113.0,6100.0,4008.0,4311.0,922.0,0.0,1010.0,094,Wychwood
DU,54256.0,63350.0,59313.0,54700.0,51225.0,49488.0,42709.0,40379.0,8753.0,3707.0,10777.0,092,Corso Italia-Davenport
EA,48329.0,43594.0,47626.0,46633.0,45770.0,43683.0,41801.0,38638.0,10679.0,4215.0,14964.0,158,Islington
EB,8451.0,7575.0,6538.0,6850.0,7325.0,7175.0,5700.0,5383.0,852.0,341.0,1137.0,011,Eringate-Centennial-West Deane
EG,30367.0,29788.0,33350.0,34325.0,30325.0,25888.0,13481.0,12828.0,3408.0,1548.0,3613.0,110,Keelesdale-Eglinton West
EN,21394.0,25243.0,23452.0,19505.0,23800.0,29604.0,26289.0,20341.0,4497.0,2518.0,8193.0,052,Bayview Village
ES,34997.0,39200.0,37063.0,37650.0,18675.0,24088.0,55733.0,55205.0,12119.0,4067.0,18279.0,120,Clairlea-Birchmount
FH,20652.0,19988.0,20288.0,21600.0,20350.0,21500.0,14583.0,17319.0,4598.0,1936.0,6495.0,102,Forest Hill North
FO,0.0,0.0,24150.0,49513.0,48088.0,47162.0,37264.0,38890.0,7407.0,3854.0,14731.0,165,Harbourfront-CityPlace
FP,55771.0,59211.0,51997.0,50388.0,49910.0,39266.0,29894.0,29562.0,6271.0,2479.0,9928.0,044,Flemingdon Park
FV,164649.0,0.0,167961.0,232297.0,224402.0,215656.0,130320.0,132363.0,32314.0,15276.0,46018.0,047,Don Valley Village
GE,21811.0,21888.0,23425.0,25863.0,23825.0,24038.0,16717.0,16283.0,3739.0,1867.0,3697.0,065,Greenwood-Coxwell
GHP,46660.0,48736.0,50442.0,49572.0,45802.0,39670.0,30554.0,28864.0,6205.0,2695.0,6531.0,130,Milliken
GW,11027.0,12550.0,12138.0,12600.0,12000.0,11088.0,9772.0,3327.0,2225.0,758.0,2700.0,140,Guildwood
HB,8441.0,8675.0,8900.0,8725.0,8825.0,8038.0,6015.0,6809.0,1232.0,449.0,2728.0,016,Stonegate-Queensway
HC,23497.0,22513.0,24713.0,21838.0,19238.0,19175.0,16657.0,15568.0,4426.0,1542.0,3568.0,134,Highland Creek
HIL,32986.0,55275.0,31088.0,31550.0,29013.0,27575.0,16987.0,15515.0,3582.0,1284.0,3144.0,048,Hillcrest Village
HP,39306.0,41600.0,44950.0,43475.0,39725.0,41913.0,32396.0,33287.0,7341.0,3409.0,9156.0,087,High Park-Swansea
HS,31763.0,30800.0,31213.0,27700.0,21488.0,7225.0,10281.0,11207.0,3415.0,982.0,3551.0,021,Humber Summit
HW,31205.0,36038.0,34175.0,21575.0,18000.0,16050.0,10942.0,10952.0,2229.0,909.0,2807.0,001,West Humber-Clairville
JD,71573.0,75575.0,71413.0,64375.0,64400.0,63875.0,43864.0,41567.0,11692.0,5875.0,17688.0,089,Runnymede-Bloor West Village
JO,30753.0,28675.0,28863.0,25888.0,23288.0,21488.0,18622.0,14749.0,3568.0,1385.0,3350.0,070,South Riverdale
JS,46352.0,48988.0,48763.0,48325.0,47725.0,39475.0,23749.0,25099.0,7509.0,3224.0,10134.0,025,Glenfield-Jane Heights
KE,38399.0,38200.0,39188.0,37925.0,36150.0,39175.0,29139.0,27027.0,7709.0,5727.0,17130.0,125,Ionview
LB,26643.0,26575.0,22363.0,25550.0,24788.0,19427.0,14458.0,13628.0,2755.0,915.0,4649.0,019,Long Branch
LE,25308.0,27025.0,23925.0,25913.0,24488.0,25313.0,20752.0,21315.0,5065.0,2526.0,6381.0,056,Leaside-Bennington
LO,42570.0,40425.0,40625.0,42075.0,47125.0,46140.0,40048.0,36896.0,8879.0,3700.0,7941.0,103,Lawrence Park South
LS,188318.0,189215.0,183539.0,176522.0,165859.0,111803.0,108743.0,91815.0,26622.0,14526.0,53604.0,078,Kensington-Chinatown
MA,35881.0,39548.0,38513.0,35975.0,35813.0,32700.0,26001.0,23379.0,7986.0,4891.0,11288.0,062,East End-Danforth
MAL,165136.0,181120.0,175932.0,170307.0,167069.0,158550.0,83951.0,79554.0,20033.0,7303.0,23708.0,146,Malvern East
MAS,132310.0,111379.0,128615.0,135937.0,142462.0,121564.0,81688.0,79476.0,19854.0,7608.0,24408.0,107,Oakwood-Vaughan
MCG,39797.0,44723.0,44396.0,42142.0,37741.0,36807.0,30641.0,29609.0,7509.0,2602.0,7915.0,126,Dorset Park
MD,0.0,44575.0,64538.0,55913.0,55175.0,53466.0,36451.0,31430.0,8491.0,3898.0,12200.0,115,Mount Dennis
MI,17454.0,21055.0,22058.0,21475.0,23175.0,24663.0,15725.0,12713.0,3871.0,1652.0,5121.0,160,Mimico-Queensway
MP,5328.0,5675.0,5613.0,6138.0,6250.0,5738.0,6809.0,5368.0,1040.0,0.0,0.0,099,Mount Pleasant East
MRV,31081.0,30713.0,30650.0,32938.0,34313.0,33900.0,34992.0,32754.0,5973.0,2661.0,9766.0,119,Wexford-Maryvale
MS,34166.0,39950.0,41363.0,42363.0,41988.0,39488.0,30116.0,29277.0,6127.0,2324.0,11739.0,136,West Hill
ND,127600.0,117777.0,106577.0,112235.0,117080.0,120673.0,104897.0,92396.0,26221.0,14308.0,40022.0,100,Yonge-Eglinton
NE,12532.0,13700.0,12938.0,11325.0,11488.0,10788.0,13858.0,12233.0,3650.0,1480.0,4798.0,001,West Humber-Clairville
NT,26430.0,22372.0,23049.0,22853.0,22585.0,23478.0,15193.0,13824.0,3370.0,1608.0,5557.0,018,New Toronto
OV,35837.0,34600.0,36975.0,37863.0,37238.0,33188.0,21743.0,19498.0,4420.0,1934.0,5348.0,107,Oakwood-Vaughan
PA,70725.0,72263.0,71899.0,75404.0,74158.0,59407.0,60571.0,49103.0,11283.0,3053.0,14645.0,069,Blake-Jones
PE,10329.0,9638.0,10063.0,8113.0,7863.0,8425.0,5775.0,5480.0,1099.0,274.0,1690.0,171,Junction-Wallace Emerson
PK,111474.0,128159.0,133343.0,127130.0,125610.0,122844.0,103625.0,53495.0,24647.0,13675.0,43158.0,085,South Parkdale
PL,60005.0,69688.0,68339.0,68269.0,69344.0,66423.0,62072.0,28959.0,15114.0,5033.0,26672.0,073,Moss Park
PM,21846.0,20863.0,19988.0,18800.0,19938.0,23100.0,23629.0,21569.0,5166.0,1523.0,6610.0,095,Annex
PU,15438.0,16875.0,18088.0,16450.0,16613.0,12475.0,10086.0,8556.0,1732.0,469.0,2287.0,133,Centennial Scarborough
PV,25879.0,41325.0,22738.0,22488.0,22363.0,17593.0,13400.0,13878.0,3843.0,1565.0,3536.0,046,Pleasant View
QS,12243.0,11863.0,11150.0,11100.0,11850.0,10863.0,13869.0,10704.0,2064.0,529.0,4032.0,070,South Riverdale
RD,73429.0,73788.0,74888.0,73775.0,70700.0,71813.0,45729.0,44200.0,10683.0,4799.0,16743.0,068,North Riverdale
RI,131921.0,118823.0,120461.0,113426.0,107685.0,82853.0,71177.0,71343.0,20928.0,9403.0,25414.0,007,Willowridge-Martingrove-Richview
RN,69640.0,67213.0,68213.0,65663.0,63363.0,38557.0,68987.0,67083.0,16323.0,8291.0,28534.0,088,High Park North
RX,20822.0,18938.0,18875.0,20063.0,19550.0,17963.0,11519.0,10536.0,2595.0,1166.0,3016.0,004,Rexdale-Kipling
SA,67645.0,69388.0,66100.0,67425.0,62700.0,66513.0,52512.0,53178.0,12650.0,6778.0,17522.0,078,Kensington-Chinatown
SC,0.0,0.0,0.0,27325.0,52375.0,63474.0,45256.0,43849.0,12080.0,5578.0,21266.0,156,Bendale -Glen Andrew
SI,15156.0,14225.0,14225.0,13925.0,13838.0,9487.0,0.0,1473.0,1390.0,709.0,2182.0,091,Weston-Pellam Park
SJ,64006.0,62200.0,65038.0,57375.0,56575.0,58200.0,51621.0,58962.0,9389.0,1922.0,14698.0,074,North St. James Town
SL,23702.0,26075.0,25688.0,22051.0,23779.0,23888.0,24264.0,27347.0,7287.0,4073.0,9443.0,166,St Lawrence-East Bayfront-The Islands
SP,11709.0,11245.0,13242.0,14813.0,13988.0,13775.0,15469.0,14116.0,2867.0,705.0,5208.0,095,Annex
ST,37604.0,37838.0,27963.0,34800.0,34700.0,31163.0,14624.0,36129.0,7465.0,2207.0,8960.0,116,Steeles
SW,2759.0,2575.0,2488.0,2600.0,2125.0,5525.0,1443.0,2707.0,607.0,0.0,540.0,087,High Park-Swansea
SWS,129468.0,147925.0,137354.0,138960.0,114635.0,119109.0,64722.0,58495.0,14360.0,5318.0,16305.0,059,Danforth Village - East York
TA,13881.0,15425.0,14925.0,18588.0,14738.0,13329.0,8594.0,8422.0,2360.0,926.0,2401.0,122,Birchcliffe-Cliffside
TH,80657.0,88100.0,89775.0,79150.0,76875.0,71175.0,50333.0,42950.0,11491.0,5107.0,16651.0,055,Thorncliffe Park
TOD,2820.0,3300.0,6225.0,5438.0,4263.0,4375.0,3450.0,3749.0,754.0,157.0,1220.0,058,Old East York
TRL,727822.0,818494.0,776844.0,901258.0,917498.0,867212.0,428446.0,390307.0,113637.0,49391.0,136640.0,098,Rosedale-Moore Park
VV,14772.0,13675.0,14638.0,12950.0,12638.0,12050.0,9463.0,9070.0,1886.0,938.0,2572.0,043,Victoria Village
WE,40117.0,37488.0,40363.0,46263.0,41188.0,37813.0,26060.0,26812.0,7825.0,4390.0,14837.0,113,Weston
WP,19629.0,16738.0,19200.0,21425.0,24763.0,23938.0,13555.0,14657.0,3980.0,1409.0,4115.0,022,Humbermede
WS,105207.0,114088.0,104775.0,106963.0,101650.0,97263.0,75752.0,72288.0,13434.0,5878.0,21028.0,129,Agincourt North
WY,44020.0,43200.0,37747.0,37263.0,36875.0,36463.0,16140.0,0.0,0.0,0.0,3836.0,096,Casa Loma
YO,32464.0,32475.0,32850.0,32313.0,29425.0,29238.0,22390.0,21130.0,4700.0,1929.0,8755.0,095,Annex
YW,172783.0,176806.0,185228.0,193860.0,172467.0,157821.0,93349.0,62065.0,8832.0,3571.0,16088.0,025,Glenfield-Jane Heights
